	
locus	Mean	Lower_95%CI	Upper_95%CI	
Locus212	0.023	0.0099	0.0412	
Locus213	0.0447	0.0186	0.0718	
Locus214	0.0645	0.0373	0.0914	
Locus215	0.0601	0.0376	0.0979	
Locus216	0.0652	0.0431	0.0993	
Locus217	0.0468	0.0313	0.0685	
Locus218	0.0646	0.0433	0.0858	
Locus219	0.0275	0.0132	0.0446	
Locus220	0.0309	0.0133	0.0609	
Locus221	0.0676	0.0422	0.0973	
Locus222	0.0423	0.0193	0.0647	
Locus223	0.055	0.0341	0.0828	
Locus224	0.0652	0.0342	0.0992	
Locus225	0.0192	0.0069	0.0437	
Locus226	0.0331	0.0143	0.0591	
Locus227	0.0182	0.0068	0.0339	
Locus228	0.0235	0.0066	0.0457	
Locus229	0.0231	0.0081	0.0399	
Locus230	0.0381	0.0147	0.0706	
Locus231	0.0224	0.0085	0.0421	
Locus232	0.0224	0.0091	0.0407	
Locus233	0.0328	0.0161	0.0565	
Locus234	0.0402	0.0161	0.0683	
Locus235	0.0263	0.0113	0.0452	
Locus236	0.0284	0.0117	0.0546	
Locus237	0.0639	0.0397	0.0952	
Locus238	0.0156	0.0051	0.0315	
Locus239	0.0709	0.0528	0.0939	
Locus240	0.0228	0.0094	0.0409	
Locus241	0.02	0.0056	0.0392	
Locus242	0.0307	0.0139	0.0515	
Locus243	0.0442	0.0233	0.0732	
Locus244	0.0725	0.0498	0.0959	
Locus245	0.0384	0.0205	0.0683	
Locus246	0.0227	0.0065	0.0444	
Locus247	0.0358	0.0168	0.0588	
Locus248	0.0331	0.0166	0.0538	
Locus249	0.0128	0.0034	0.0288	
Locus250	0.0081	0.0017	0.0276	
Locus251	0.0417	0.0242	0.0623	
Locus252	0.0288	0.0121	0.0506	
Locus253	0.0579	0.0417	0.0794	
Locus254	0.0412	0.0245	0.0623	
Locus255	0.0215	0.0083	0.0383	
Locus256	0.0236	0.0083	0.0492	
Locus257	0.0327	0.0142	0.0623	
Locus258	0.0384	0.0216	0.058	
Locus259	0.0269	0.0124	0.0459	
Locus260	0.0451	0.0278	0.0689	
Locus261	0.0529	0.0299	0.0724	
Locus262	0.0405	0.0173	0.0757	
Locus263	0.064	0.0371	0.0889	
Locus264	0.037	0.0119	0.0713	
Locus265	0.021	0.0104	0.0393	
Locus266	0.0661	0.0342	0.1029	
Locus267	0.0617	0.042	0.0836	
Locus268	0.0601	0.0337	0.0901	
Locus269	0.0324	0.0153	0.0529	
Locus270	0.0222	0.0093	0.0421	
Locus271	0.012	0.0038	0.025	
Locus272	0.0329	0.0151	0.0526	
Locus273	0.0392	0.0163	0.0636	
Locus274	0.0198	0.006	0.0441	
Locus275	0.0222	0.0101	0.0395	
Locus276	0.046	0.0264	0.076	
Locus277	0.0457	0.0268	0.0753	
Locus278	0.0283	0.0123	0.0645	
Locus279	0.0485	0.0265	0.0736	
Locus280	0.0512	0.0264	0.086	
Locus281	0.0297	0.015	0.0523	
Locus282	0.0213	0.0081	0.0425	
Locus283	0.0326	0.0189	0.0532	
Locus284	0.0248	0.0105	0.0471	
Locus285	0.0672	0.0433	0.0906	
Locus286	0.0176	0.0062	0.0305	
Locus287	0.0563	0.0317	0.0817	
Locus288	0.0489	0.0284	0.0733	
Locus289	0.0118	0.0039	0.0249	
Locus290	0.0217	0.0075	0.0387	
Locus291	0.0245	0.0102	0.0514	
Locus292	0.024	0.0098	0.0422	
Locus293	0.0588	0.0325	0.0843	
Locus294	0.0698	0.0414	0.0957	
Locus295	0.0369	0.0172	0.0573	
Locus296	0.013	0.0049	0.0291	
Locus297	0.0245	0.012	0.0455	
Locus298	0.0607	0.0427	0.0909	
Locus299	0.0427	0.0198	0.0715	
Locus300	0.0318	0.0152	0.0503	
Locus301	0.0314	0.0123	0.0561	
Locus302	0.0569	0.0299	0.0867	
Locus303	0.0331	0.0122	0.0571	
Locus304	0.066	0.043	0.0935	
Locus305	0.0521	0.0313	0.0737	
Locus306	0.0164	0.0054	0.0294	
Locus307	0.0405	0.0204	0.0646	
Locus308	0.0308	0.0129	0.0567	
Locus309	0.0538	0.0292	0.0795	
Locus310	0.0167	0.0051	0.0384	
Locus311	0.0183	0.0081	0.0358	
Locus312	0.0197	0.0072	0.037	
Locus313	0.0395	0.0178	0.0707	
Locus314	0.0355	0.0147	0.059	
Locus315	0.0297	0.0126	0.0532	
Locus316	0.0368	0.0187	0.0539	
Locus317	0.0504	0.0278	0.0808	
Locus318	0.0256	0.0114	0.0486	
Locus319	0.0308	0.0124	0.0515	
Locus320	0.0254	0.0115	0.0489	
Locus321	0.0311	0.0156	0.0565	
Locus322	0.0205	0.0073	0.0382	
Locus323	0.0308	0.0147	0.0511	
Locus324	0.0616	0.039	0.0891	
Locus325	0.0356	0.0178	0.0581	
Locus326	0.0094	0.0017	0.0216	
Locus327	0.049	0.0332	0.0724	
Locus328	0.0166	0.0052	0.0347	
Locus329	0.0367	0.0135	0.0691	
Locus330	0.0205	0.0087	0.0427	
Locus331	0.0418	0.0184	0.0692	
Locus332	0.0202	0.0081	0.0346	
Locus333	0.0148	0.0048	0.0317	
Locus334	0.0469	0.0342	0.0642	
Locus335	0.0251	0.0113	0.0415	
Locus336	0.0375	0.0189	0.0601	
Locus337	0.0311	0.0098	0.0554	
Locus338	0.0239	0.0104	0.0512	
Locus339	0.0141	0.0043	0.0335	
Locus340	0.0374	0.0203	0.0559	
Locus341	0.0253	0.0095	0.0449	
Locus342	0.041	0.0203	0.0652	
Locus343	0.0454	0.0214	0.0758	
Locus344	0.0258	0.0132	0.0441	
Locus345	0.0355	0.0157	0.0626	
Locus346	0.0426	0.0239	0.0657	
Locus347	0.014	0.0045	0.0296	
Locus348	0.0462	0.0239	0.0752	
Locus349	0.0159	0.0064	0.0298	
Locus350	0.0208	0.009	0.0359	
Locus351	0.0429	0.023	0.0699	
Locus352	0.0515	0.0208	0.0836	
Locus353	0.0261	0.0109	0.0486	
Locus354	0.0322	0.0145	0.054	
Locus355	0.019	0.0061	0.037	
Locus356	0.0306	0.0152	0.047	
Locus357	0.0286	0.0101	0.0485	
Locus358	0.0275	0.0107	0.0552	
Locus359	0.0654	0.0406	0.0929	
Locus360	0.0211	0.0084	0.038	
Locus361	0.0205	0.0056	0.0448	
Locus362	0.0466	0.0276	0.0785	
Locus363	0.0245	0.0112	0.0432	
Locus364	0.0447	0.0247	0.0672	
Locus365	0.0127	0.0039	0.0275	
Locus366	0.0459	0.0227	0.085	
Locus367	0.0311	0.0114	0.0564	
Locus368	0.0157	0.0058	0.0338	
Locus369	0.0196	0.0079	0.0372	
Locus370	0.0472	0.0243	0.0703	
Locus371	0.0267	0.0098	0.0515	
Locus372	0.0378	0.0209	0.0626	
Locus373	0.0209	0.0095	0.0422	
Locus374	0.0391	0.0178	0.0637	
Locus375	0.0428	0.0214	0.0769	
Locus376	0.0353	0.0198	0.0572	
Locus377	0.0238	0.008	0.046	
Locus378	0.0394	0.0203	0.0603	
Locus379	0.0195	0.0065	0.0339	
Locus380	0.0473	0.0284	0.073	
Locus381	0.0549	0.0408	0.0722	
Locus382	0.0434	0.0244	0.0647	
Locus383	0.0412	0.0227	0.0638	
Locus384	0.0251	0.011	0.045	
Locus385	0.0277	0.0126	0.0457	
Locus386	0.0161	0.005	0.0305	
Locus387	0.0119	0.0035	0.023	
Locus388	0.0128	0.0042	0.0267	
Locus389	0.0385	0.0119	0.0792	
Locus390	0.0519	0.0311	0.0796	
Locus391	0.0275	0.0104	0.05	
Locus392	0.0335	0.0188	0.0501	
Locus393	0.0204	0.0085	0.0365	
Locus394	0.0406	0.0199	0.0679	
Locus395	0.0201	0.008	0.0426	
Locus396	0.04	0.0233	0.0675	
Locus397	0.0162	0.0057	0.0332	
Locus398	0.0423	0.0228	0.0633	
Locus399	0.0356	0.018	0.0584	
Locus400	0.0443	0.0228	0.0714	
Locus401	0.0313	0.0123	0.0485	
Locus402	0.0585	0.036	0.0838	
Locus403	0.0212	0.0071	0.0366	
Locus404	0.038	0.0183	0.0642	
Locus405	0.0505	0.0304	0.0785	
Locus406	0.0794	0.0517	0.1057	
Locus407	0.0418	0.0244	0.064	
Locus408	0.032	0.011	0.0574	
Locus409	0.0497	0.03	0.0737	
Locus410	0.0331	0.0145	0.0589	
Locus411	0.0166	0.0068	0.0297	
Locus412	0.0287	0.0116	0.0517	
Locus413	0.0192	0.0063	0.0402	
Locus414	0.0425	0.0234	0.0722	
Locus415	0.0551	0.0286	0.0904	
Locus416	0.0418	0.0248	0.0623	
Locus417	0.0235	0.0109	0.0525	
Locus418	0.0262	0.0092	0.0497	
Locus419	0.0258	0.0119	0.0474	
Locus420	0.0353	0.0185	0.0551	
Locus421	0.0324	0.0118	0.0587	
Locus422	0.0487	0.0275	0.0783	
Locus423	0.0408	0.0191	0.061	
Locus424	0.0664	0.0405	0.1075	
Locus425	0.0525	0.0293	0.0905	
Locus426	0.021	0.0088	0.038	
Locus427	0.0211	0.0068	0.0429	
Locus428	0.0536	0.0246	0.0971	
Locus429	0.0438	0.0246	0.0647	
Locus430	0.0511	0.0322	0.0762	
Locus431	0.0525	0.0263	0.0816	
Locus432	0.0318	0.0121	0.0535	
Locus433	0.0274	0.0108	0.0498	
Locus434	0.0307	0.0121	0.0539	
Locus435	0.0322	0.0153	0.0577	
Locus436	0.0223	0.0093	0.042	
Locus437	0.0322	0.0174	0.0547	
Locus438	0.0487	0.024	0.0776	
Locus439	0.0173	0.0065	0.0403	
Locus440	0.0295	0.0138	0.0555	
Locus441	0.0353	0.0166	0.059	
Locus442	0.0155	0.0042	0.035	
Locus443	0.0455	0.0179	0.0797	
Locus444	0.0428	0.0245	0.0706	
Locus445	0.0548	0.0309	0.0839	
Locus446	0.0476	0.0275	0.0692	
Locus447	0.0146	0.0045	0.0293	
Locus448	0.0232	0.0079	0.0442	
Locus449	0.0435	0.0253	0.0686	
Locus450	0.0124	0.0037	0.0271	
Locus451	0.0092	0.0021	0.0194	
Locus452	0.0314	0.0153	0.0502	
Locus453	0.0351	0.012	0.0669	
Locus454	0.0448	0.0253	0.0695	
Locus455	0.019	0.007	0.0354	
Locus456	0.0593	0.0313	0.0905	
Locus457	0.0917	0.0605	0.1242	
Locus458	0.0537	0.0333	0.0766	
Locus459	0.0284	0.0126	0.0502	
Locus460	0.0385	0.0222	0.0635	
Locus461	0.0466	0.0275	0.0759	
Locus462	0.0437	0.0237	0.0669	
Locus463	0.0187	0.0079	0.0352	
Locus464	0.0161	0.0047	0.0378	
Locus465	0.0125	0.0035	0.0289	
Locus466	0.0174	0.0061	0.0306	
Locus467	0.0197	0.0073	0.0378	
Locus468	0.0467	0.0251	0.0695	
Locus469	0.0381	0.0172	0.0607	
Locus470	0.0189	0.0061	0.041	
Locus471	0.0133	0.004	0.0278	
Locus472	0.0421	0.0219	0.0723	
Locus473	0.0172	0.0062	0.0359	
Locus474	0.0394	0.019	0.0694	
Locus475	0.019	0.0062	0.0336	
Locus476	0.0651	0.0395	0.0919	
Locus477	0.027	0.0117	0.0481	
Locus478	0.0719	0.0475	0.1038	
Locus479	0.0389	0.02	0.0655	
Locus480	0.0245	0.0068	0.0463	
Locus481	0.0389	0.0203	0.0642	
Locus482	0.0298	0.014	0.0562	
Locus483	0.0309	0.0097	0.059	
Locus484	0.0549	0.0347	0.0892	
Locus485	0.0502	0.0299	0.0822	
Locus486	0.0281	0.0137	0.0502	
Locus487	0.0356	0.0177	0.056	
Locus488	0.0277	0.0102	0.0548	
Locus489	0.0672	0.0457	0.0885	
Locus490	0.0214	0.0099	0.0412	
Locus491	0.0318	0.0163	0.0536	
Locus492	0.0253	0.0085	0.0427	
Locus493	0.0326	0.0168	0.0572	
Locus494	0.0346	0.0155	0.0528	
Locus495	0.0264	0.0133	0.0468	
Locus496	0.0138	0.0033	0.0322	
Locus497	0.0327	0.0125	0.0588	
Locus498	0.0257	0.0103	0.0472	
Locus499	0.0176	0.0059	0.0328	
Locus500	0.0377	0.0188	0.061	
Locus501	0.0254	0.0091	0.0504	
Locus502	0.0584	0.037	0.0897	
Locus503	0.0182	0.0072	0.0313	
Locus504	0.0216	0.0103	0.0432	
Locus505	0.0327	0.014	0.054	
Locus506	0.0506	0.0288	0.0718	
Locus507	0.032	0.0153	0.0478	
Locus508	0.0389	0.0228	0.0631	
Locus509	0.0381	0.0178	0.061	
Locus510	0.0264	0.0107	0.05	
Locus511	0.0222	0.0097	0.0418	
Locus512	0.0356	0.018	0.0595	
Locus513	0.0612	0.0351	0.0856	
Locus514	0.0493	0.0294	0.0728	
Locus515	0.0437	0.0245	0.064	
Locus516	0.0259	0.0109	0.051	
Locus517	0.026	0.0123	0.0433	
Locus518	0.0263	0.0097	0.0507	
Locus519	0.0543	0.0317	0.0746	
Locus520	0.0427	0.0239	0.0688	
Locus521	0.023	0.0082	0.0375	
Locus522	0.0298	0.0118	0.051	
Locus523	0.0127	0.0034	0.0292	
Locus524	0.0332	0.016	0.0559	
Locus525	0.0364	0.0208	0.0551	
Locus526	0.0229	0.0086	0.0429	
Locus527	0.0155	0.0054	0.0284	
Locus528	0.0624	0.0366	0.0917	
Locus529	0.0271	0.0126	0.049	
Locus530	0.06	0.0389	0.087	
Locus531	0.0253	0.01	0.0472	
Locus532	0.0219	0.0088	0.0409	
Locus533	0.0181	0.0078	0.0348	
Locus534	0.0282	0.0105	0.0532	
Locus535	0.0275	0.0116	0.0466	
Locus536	0.0322	0.0135	0.06	
Locus537	0.0193	0.0075	0.0386	
Locus538	0.042	0.0222	0.0657	
Locus539	0.023	0.0097	0.0461	
Locus540	0.0243	0.009	0.0413	
Locus541	0.0292	0.012	0.0533	
Locus542	0.0357	0.0145	0.0626	
Locus543	0.0282	0.0138	0.0459	
Locus544	0.0235	0.0085	0.0445	
Locus545	0.018	0.0046	0.0412	
Locus546	0.0306	0.015	0.0509	
Locus547	0.0322	0.0158	0.0544	
Locus548	0.0256	0.0085	0.051	
Locus549	0.0547	0.0329	0.0792	
Locus550	0.0508	0.028	0.082	
Locus551	0.0179	0.0039	0.0375	
Locus552	0.0466	0.0248	0.0714	
Locus553	0.0664	0.0383	0.0977	
Locus554	0.0463	0.0247	0.074	
Locus555	0.0531	0.0299	0.0838	
Locus556	0.0511	0.0309	0.0719	
Locus557	0.0516	0.028	0.0777	
Locus558	0.028	0.0115	0.0557	
Locus559	0.036	0.021	0.0677	
Locus560	0.0364	0.0197	0.0598	
Locus561	0.027	0.0097	0.0524	
Locus562	0.0173	0.0057	0.0339	
Locus563	0.0427	0.0231	0.0605	
Locus564	0.0249	0.007	0.0533	
Locus565	0.0227	0.0084	0.0448	
Locus566	0.0332	0.0182	0.0505	
Locus567	0.0272	0.013	0.0442	
Locus568	0.0374	0.0207	0.0568	
Locus569	0.0488	0.0299	0.0691	
Locus570	0.0305	0.0164	0.0475	
Locus571	0.0231	0.0108	0.0408	
Locus572	0.0389	0.0209	0.0578	
Locus573	0.0156	0.0036	0.0332	
Locus574	0.0179	0.0068	0.0335	
Locus575	0.0117	0.0034	0.0229	
Locus576	0.0375	0.0222	0.0602	
Locus577	0.0202	0.0073	0.0361	
Locus578	0.0393	0.0208	0.0614	
Locus579	0.0166	0.0064	0.0316	
Locus580	0.0246	0.0093	0.0476	
Locus581	0.0394	0.0219	0.0559	
Locus582	0.0405	0.0219	0.0642	
Locus583	0.0158	0.0046	0.0303	
Locus584	0.0627	0.0344	0.091	
Locus585	0.0237	0.0128	0.0426	
Locus586	0.0274	0.0143	0.0463	
Locus587	0.0207	0.0088	0.0395	
Locus588	0.0488	0.0262	0.0788	
Locus589	0.0477	0.0254	0.0711	
Locus590	0.0447	0.0228	0.0665	
Locus591	0.0294	0.0126	0.0491	
Locus592	0.0382	0.0197	0.0651	
Locus593	0.032	0.0144	0.0526	
Locus594	0.0284	0.0119	0.0454	
Locus595	0.0421	0.0216	0.0704	
Locus596	0.0349	0.0176	0.0599	
Locus597	0.02	0.0073	0.0428	
Locus598	0.0266	0.0109	0.0453	
Locus599	0.0285	0.0121	0.0498	
Locus600	0.0175	0.0064	0.0302	
Locus601	0.0266	0.0108	0.0492	
Locus602	0.0348	0.018	0.0578	
Locus603	0.029	0.0094	0.0516	
Locus604	0.013	0.0046	0.0246	
Locus605	0.0263	0.0074	0.0455	
Locus606	0.0393	0.02	0.0636	
Locus607	0.0619	0.0384	0.0935	
Locus608	0.0246	0.0107	0.0459	
Locus609	0.0371	0.0208	0.0592	
Locus610	0.0274	0.014	0.0506	
Locus611	0.0351	0.0193	0.0557	
Locus612	0.0285	0.0139	0.0493	
Locus613	0.0315	0.0116	0.0519	
Locus614	0.0151	0.0053	0.0296	
Locus615	0.0436	0.0239	0.0708	
Locus616	0.0307	0.0114	0.058	
Locus617	0.0281	0.0132	0.0534	
Locus618	0.0861	0.0548	0.1163	
Locus619	0.0445	0.0257	0.0686	
Locus620	0.0179	0.0052	0.0381	
Locus621	0.0185	0.0041	0.0363	
Locus622	0.0224	0.008	0.0386	
Locus623	0.0174	0.0059	0.0333	
Locus624	0.0405	0.0164	0.0748	
Locus625	0.0217	0.0098	0.038	
Locus626	0.0453	0.0233	0.0754	
Locus627	0.0391	0.0218	0.0601	
Locus628	0.04	0.0203	0.0681	
Locus629	0.0596	0.042	0.0809	
Locus630	0.0297	0.014	0.0562	
Locus631	0.0216	0.0075	0.0398	
Locus632	0.0133	0.003	0.03	
Locus633	0.013	0.0042	0.0239	
Locus634	0.031	0.0161	0.0502	
Locus635	0.0684	0.0508	0.0871	
Locus636	0.0347	0.0168	0.0592	
Locus637	0.0451	0.0301	0.0663	
Locus638	0.0305	0.016	0.0511	
Locus639	0.0325	0.0164	0.0548	
Locus640	0.0137	0.0054	0.0248	
Locus641	0.0341	0.0196	0.0514	
Locus642	0.0279	0.0087	0.0529	
Locus643	0.0333	0.0177	0.0522	
Locus644	0.0333	0.0141	0.0605	
Locus645	0.0356	0.0191	0.0601	
Locus646	0.0165	0.0051	0.036	
Locus647	0.0405	0.0234	0.0676	
Locus648	0.0124	0.0044	0.0289	
Locus649	0.0479	0.0291	0.0703	
Locus650	0.0508	0.0283	0.0769	
Locus651	0.0457	0.027	0.0687	
Locus652	0.0272	0.0124	0.0461	
Locus653	0.0149	0.0043	0.036	
Locus654	0.0379	0.017	0.0611	
Locus655	0.0279	0.01	0.0497	
Locus656	0.0307	0.0162	0.0557	
Locus657	0.0295	0.014	0.0545	
Locus658	0.05	0.0254	0.0806	
Locus659	0.0198	0.0082	0.0405	
Locus660	0.0208	0.0085	0.0402	
Locus661	0.03	0.0122	0.0487	
Locus662	0.0587	0.0311	0.0842	
Locus663	0.032	0.015	0.0553	
Locus664	0.0319	0.0119	0.0564	
Locus665	0.0335	0.0103	0.0661	
Locus666	0.0446	0.0246	0.0658	
Locus667	0.0313	0.0142	0.0528	
Locus668	0.0303	0.0152	0.0553	
Locus669	0.0226	0.0084	0.0422	
Locus670	0.0312	0.0146	0.054	
