loci	H_st	D_st	G_st	G_hed_st	D_jost	
Locus236	0.0218	0.0086	0.014	0.0385	0.0249	
Locus237	0.0768	0.0308	0.0489	0.1325	0.0878	
Locus238	0.0086	0.0037	0.0065	0.0163	0.0099	
Locus239	0.0884	0.035	0.0549	0.1503	0.101	
Locus240	0.0178	0.0075	0.0127	0.0328	0.0203	
Locus241	0.018	0.0083	0.0153	0.0355	0.0205	
Locus242	0.0219	0.0098	0.0174	0.0421	0.0251	
Locus243	0.0508	0.0204	0.033	0.0891	0.058	
Locus244	0.0801	0.0344	0.0569	0.1433	0.0916	
Locus245	0.0356	0.0132	0.0206	0.0604	0.0407	
Locus246	0.014	0.0064	0.0118	0.0276	0.016	
Locus247	0.0336	0.0131	0.0209	0.0585	0.0384	
Locus248	0.0284	0.0133	0.0244	0.0561	0.0324	
Locus249	0.0082	0.0038	0.007	0.0163	0.0094	
Locus250	0.0043	0.002	0.0038	0.0087	0.005	
Locus251	0.0414	0.0163	0.0262	0.0722	0.0473	
Locus252	0.0195	0.0089	0.016	0.0379	0.0223	
Locus253	0.0637	0.0251	0.0398	0.1098	0.0728	
Locus254	0.0461	0.0165	0.025	0.0764	0.0527	
Locus255	0.0153	0.0067	0.0118	0.029	0.0175	
Locus256	0.0181	0.0075	0.0126	0.033	0.0207	
Locus257	0.0243	0.0114	0.021	0.0482	0.0278	
Locus258	0.0328	0.0142	0.0245	0.061	0.0374	
Locus259	0.0197	0.0087	0.0154	0.0376	0.0225	
Locus260	0.0536	0.0202	0.0314	0.0908	0.0613	
Locus261	0.0601	0.0234	0.037	0.1031	0.0686	
Locus262	0.0357	0.0165	0.0297	0.0692	0.0408	
Locus263	0.0795	0.0307	0.0477	0.1342	0.0908	
Locus264	0.0353	0.016	0.0285	0.0677	0.0403	
Locus265	0.0161	0.0072	0.0128	0.0309	0.0183	
Locus266	0.0633	0.0297	0.0531	0.1216	0.0724	
Locus267	0.0668	0.0267	0.0426	0.1158	0.0764	
Locus268	0.0735	0.0322	0.0541	0.1336	0.084	
Locus269	0.0289	0.0106	0.0164	0.0489	0.033	
Locus270	0.0168	0.0075	0.0134	0.0324	0.0192	
Locus271	0.0075	0.0034	0.0063	0.0147	0.0085	
Locus272	0.026	0.0117	0.0209	0.05	0.0298	
Locus273	0.0455	0.017	0.0264	0.077	0.052	
Locus274	0.0097	0.0046	0.0086	0.0196	0.0111	
Locus275	0.0145	0.0064	0.0115	0.0278	0.0165	
Locus276	0.0507	0.0206	0.0336	0.0896	0.0579	
Locus277	0.0496	0.0193	0.0307	0.0857	0.0567	
Locus278	0.0256	0.0118	0.0213	0.0499	0.0292	
Locus279	0.0554	0.0211	0.033	0.0943	0.0633	
Locus280	0.0481	0.0225	0.0407	0.0934	0.055	
Locus281	0.0283	0.0111	0.018	0.0497	0.0323	
Locus282	0.0171	0.0076	0.0137	0.0329	0.0195	
Locus283	0.0228	0.0089	0.0144	0.04	0.026	
Locus284	0.0155	0.0068	0.012	0.0295	0.0177	
Locus285	0.0832	0.0325	0.0507	0.141	0.0951	
Locus286	0.0118	0.0053	0.0094	0.0228	0.0135	
Locus287	0.0741	0.0274	0.0416	0.1228	0.0847	
Locus288	0.0533	0.0207	0.0327	0.0916	0.0609	
Locus289	0.0063	0.0028	0.0049	0.012	0.0072	
Locus290	0.0206	0.0093	0.0166	0.0398	0.0236	
Locus291	0.017	0.0075	0.0133	0.0325	0.0194	
Locus292	0.0202	0.0086	0.0146	0.0374	0.0231	
Locus293	0.0737	0.0276	0.0423	0.1231	0.0843	
Locus294	0.0963	0.0361	0.0546	0.1587	0.1101	
Locus295	0.0341	0.0127	0.0197	0.058	0.039	
Locus296	0.007	0.0032	0.0057	0.0137	0.008	
Locus297	0.0178	0.0084	0.0157	0.0358	0.0204	
Locus298	0.0799	0.0315	0.0495	0.1363	0.0913	
Locus299	0.0432	0.0185	0.0314	0.0792	0.0493	
Locus300	0.0292	0.0107	0.0166	0.0494	0.0334	
Locus301	0.0263	0.0123	0.0226	0.052	0.0301	
Locus302	0.0579	0.0259	0.0448	0.1081	0.0662	
Locus303	0.0275	0.0098	0.0149	0.0459	0.0314	
Locus304	0.0815	0.0316	0.0492	0.1377	0.0931	
Locus305	0.0643	0.0236	0.0361	0.1069	0.0735	
Locus306	0.0101	0.0046	0.0085	0.02	0.0116	
Locus307	0.0406	0.0154	0.0241	0.0694	0.0464	
Locus308	0.0292	0.0125	0.0214	0.0541	0.0334	
Locus309	0.0641	0.0249	0.0392	0.1096	0.0733	
Locus310	0.0099	0.0045	0.0082	0.0195	0.0114	
Locus311	0.012	0.0052	0.0091	0.0227	0.0138	
Locus312	0.012	0.0058	0.011	0.0245	0.0137	
Locus313	0.0351	0.0164	0.0299	0.0688	0.0401	
Locus314	0.0289	0.0137	0.0254	0.0576	0.033	
Locus315	0.0228	0.0103	0.0185	0.044	0.026	
Locus316	0.0297	0.0112	0.0176	0.051	0.0339	
Locus317	0.0499	0.0187	0.029	0.0844	0.0571	
Locus318	0.0242	0.0104	0.0179	0.045	0.0276	
Locus319	0.0303	0.0127	0.0213	0.0552	0.0346	
Locus320	0.0163	0.0077	0.0143	0.0327	0.0186	
Locus321	0.0305	0.0136	0.0239	0.0579	0.0348	
Locus322	0.0097	0.0039	0.0064	0.0175	0.0111	
Locus323	0.0255	0.0103	0.0169	0.0455	0.0291	
Locus324	0.0788	0.0303	0.047	0.1328	0.0901	
Locus325	0.0367	0.0157	0.0267	0.0675	0.0419	
Locus326	0.0058	0.0027	0.0051	0.0117	0.0066	
Locus327	0.0531	0.0207	0.0328	0.0915	0.0607	
Locus328	0.0112	0.0053	0.01	0.0226	0.0128	
Locus329	0.0382	0.0143	0.0222	0.0649	0.0437	
Locus330	0.0108	0.005	0.0093	0.0215	0.0123	
Locus331	0.0457	0.0175	0.0275	0.0784	0.0523	
Locus332	0.0137	0.0063	0.0114	0.0269	0.0157	
Locus333	0.0091	0.0042	0.0076	0.0179	0.0104	
Locus334	0.0488	0.0182	0.0282	0.0824	0.0558	
Locus335	0.0168	0.0079	0.0148	0.0337	0.0192	
Locus336	0.0324	0.0128	0.0207	0.0569	0.037	
Locus337	0.0303	0.014	0.0253	0.0591	0.0346	
Locus338	0.0176	0.0075	0.0128	0.0327	0.0201	
Locus339	0.0093	0.0043	0.008	0.0186	0.0106	
Locus340	0.031	0.0123	0.0199	0.0546	0.0354	
Locus341	0.0169	0.0078	0.0144	0.0334	0.0193	
Locus342	0.0441	0.0171	0.0272	0.0762	0.0504	
Locus343	0.0429	0.0183	0.0309	0.0784	0.049	
Locus344	0.0184	0.0069	0.011	0.0317	0.021	
Locus345	0.0339	0.0138	0.0229	0.0607	0.0388	
Locus346	0.0399	0.0163	0.0268	0.0712	0.0457	
Locus347	0.008	0.0035	0.0063	0.0153	0.0091	
Locus348	0.0486	0.0203	0.0338	0.0874	0.0555	
Locus349	0.0111	0.005	0.0089	0.0215	0.0127	
Locus350	0.0166	0.0075	0.0134	0.0321	0.019	
Locus351	0.0411	0.0166	0.027	0.0727	0.0469	
Locus352	0.0614	0.0251	0.0407	0.108	0.0702	
Locus353	0.0244	0.0113	0.0205	0.0478	0.0279	
Locus354	0.0243	0.0108	0.0189	0.0462	0.0278	
Locus355	0.0137	0.0059	0.0101	0.0256	0.0157	
Locus356	0.0243	0.0089	0.014	0.0413	0.0277	
Locus357	0.0208	0.0095	0.0171	0.0404	0.0237	
Locus358	0.0197	0.0077	0.0125	0.0348	0.0226	
Locus359	0.073	0.0292	0.0465	0.1261	0.0835	
Locus360	0.0157	0.0068	0.0118	0.0294	0.0179	
Locus361	0.0129	0.0053	0.009	0.0237	0.0148	
Locus362	0.0508	0.0187	0.0286	0.0851	0.0581	
Locus363	0.0163	0.0077	0.0143	0.0327	0.0186	
Locus364	0.0454	0.0173	0.0271	0.0776	0.0519	
Locus365	0.0062	0.0029	0.0053	0.0123	0.007	
Locus366	0.0385	0.0182	0.0333	0.0759	0.044	
Locus367	0.0257	0.0118	0.0213	0.0501	0.0293	
Locus368	0.0078	0.0034	0.0061	0.0149	0.0089	
Locus369	0.0144	0.0066	0.012	0.0283	0.0165	
Locus370	0.0526	0.0197	0.0305	0.0888	0.0602	
Locus371	0.0206	0.0087	0.0148	0.038	0.0236	
Locus372	0.0326	0.0144	0.0251	0.0614	0.0372	
Locus373	0.0134	0.0062	0.0116	0.0267	0.0153	
Locus374	0.0388	0.0141	0.0217	0.0651	0.0444	
Locus375	0.044	0.0158	0.0241	0.0732	0.0503	
Locus376	0.0283	0.0127	0.0225	0.0541	0.0324	
Locus377	0.0212	0.0089	0.0152	0.0391	0.0242	
Locus378	0.0402	0.0151	0.0235	0.0684	0.046	
Locus379	0.0141	0.0064	0.0115	0.0274	0.0161	
Locus380	0.0497	0.0196	0.0315	0.0864	0.0567	
Locus381	0.0687	0.027	0.0426	0.1178	0.0785	
Locus382	0.0405	0.0157	0.025	0.0701	0.0462	
Locus383	0.0377	0.0148	0.0238	0.0659	0.0431	
Locus384	0.0189	0.0073	0.0119	0.0332	0.0216	
Locus385	0.0208	0.0091	0.0158	0.0392	0.0238	
Locus386	0.0097	0.0043	0.0077	0.0187	0.0111	
Locus387	0.0074	0.0034	0.0062	0.0146	0.0084	
Locus388	0.0074	0.0034	0.0063	0.0147	0.0084	
Locus389	0.0364	0.0167	0.03	0.0704	0.0416	
Locus390	0.0455	0.0191	0.0318	0.0821	0.052	
Locus391	0.025	0.0114	0.0207	0.0486	0.0285	
Locus392	0.0266	0.0107	0.0177	0.0475	0.0304	
Locus393	0.0145	0.0064	0.0113	0.0277	0.0166	
Locus394	0.0401	0.0168	0.0282	0.0728	0.0459	
Locus395	0.0125	0.0059	0.0112	0.0253	0.0143	
Locus396	0.0365	0.0153	0.0255	0.0662	0.0417	
Locus397	0.0065	0.0027	0.0046	0.0119	0.0074	
Locus398	0.0396	0.0155	0.0249	0.0691	0.0453	
Locus399	0.0351	0.0128	0.0198	0.0591	0.0401	
Locus400	0.05	0.019	0.0298	0.0853	0.0572	
Locus401	0.0338	0.0128	0.0203	0.0581	0.0387	
Locus402	0.0761	0.0282	0.0428	0.126	0.0869	
Locus403	0.0145	0.0064	0.0114	0.0278	0.0166	
Locus404	0.0421	0.0157	0.0244	0.0713	0.0481	
Locus405	0.0526	0.0208	0.0332	0.0913	0.0601	
Locus406	0.0918	0.0412	0.0695	0.1672	0.1049	
Locus407	0.0419	0.0151	0.0231	0.0699	0.0478	
Locus408	0.0247	0.0099	0.0161	0.0439	0.0282	
Locus409	0.0467	0.0183	0.0292	0.0809	0.0533	
Locus410	0.031	0.014	0.0248	0.0593	0.0355	
Locus411	0.0093	0.0043	0.0079	0.0184	0.0107	
Locus412	0.0271	0.012	0.0211	0.0515	0.031	
Locus413	0.0139	0.0061	0.0108	0.0265	0.0158	
Locus414	0.0492	0.0181	0.0279	0.0826	0.0563	
Locus415	0.0621	0.025	0.0401	0.1083	0.071	
Locus416	0.0437	0.0157	0.0239	0.0726	0.0499	
Locus417	0.0162	0.0076	0.0143	0.0325	0.0185	
Locus418	0.0256	0.0114	0.0203	0.0489	0.0292	
Locus419	0.024	0.0103	0.0177	0.0446	0.0274	
Locus420	0.0305	0.013	0.0223	0.0564	0.0349	
Locus421	0.0291	0.0119	0.0199	0.0525	0.0333	
Locus422	0.0535	0.0216	0.035	0.094	0.0612	
Locus423	0.0346	0.0152	0.0263	0.0648	0.0396	
Locus424	0.0771	0.0328	0.0539	0.1373	0.0882	
Locus425	0.0506	0.0205	0.0332	0.0891	0.0579	
Locus426	0.0125	0.0052	0.0089	0.0231	0.0143	
Locus427	0.0165	0.0072	0.0125	0.0312	0.0189	
Locus428	0.0599	0.0264	0.0451	0.1105	0.0684	
Locus429	0.0504	0.0184	0.0282	0.0842	0.0576	
Locus430	0.0549	0.0207	0.032	0.0928	0.0628	
Locus431	0.0643	0.0249	0.0391	0.1098	0.0735	
Locus432	0.0289	0.0125	0.0216	0.054	0.0331	
Locus433	0.0218	0.0085	0.0138	0.0385	0.025	
Locus434	0.0268	0.0106	0.0172	0.0473	0.0307	
Locus435	0.0295	0.0124	0.0209	0.0539	0.0338	
Locus436	0.0129	0.0052	0.0085	0.0232	0.0148	
Locus437	0.0281	0.0107	0.017	0.0485	0.0321	
Locus438	0.0458	0.0204	0.0355	0.0859	0.0523	
Locus439	0.013	0.0056	0.0098	0.0245	0.0148	
Locus440	0.0194	0.0083	0.0142	0.036	0.0221	
Locus441	0.0327	0.014	0.0239	0.0604	0.0374	
Locus442	0.0089	0.0041	0.0076	0.0177	0.0102	
Locus443	0.0378	0.0184	0.0345	0.0762	0.0432	
Locus444	0.0431	0.0189	0.0327	0.0804	0.0493	
Locus445	0.0653	0.0249	0.0386	0.1104	0.0747	
Locus446	0.0582	0.0207	0.0311	0.0956	0.0665	
Locus447	0.0058	0.0026	0.0048	0.0114	0.0066	
Locus448	0.0131	0.0052	0.0086	0.0234	0.015	
Locus449	0.0517	0.0195	0.0303	0.0875	0.059	
Locus450	0.0059	0.0027	0.005	0.0117	0.0068	
Locus451	0.0058	0.0027	0.005	0.0116	0.0066	
Locus452	0.0286	0.0101	0.0153	0.0475	0.0327	
Locus453	0.0373	0.0173	0.0313	0.0726	0.0426	
Locus454	0.0543	0.02	0.0307	0.0909	0.0621	
Locus455	0.0129	0.0056	0.0098	0.0245	0.0148	
Locus456	0.0704	0.0292	0.0476	0.1243	0.0805	
