loci	gst	Gst	GGst	D	Fis	Fst	Fit
Locus71	 0.0189	 0.0218	 0.0245	 0.0030	 0.3215	 0.0080	 0.3270
Locus72	 0.0172	 0.0323	 0.0347	 0.0153	 0.2039	 0.0104	 0.2122
Locus73	-0.0112	-0.0191	-0.0207	-0.0078	 0.1600	-0.0229	 0.1408
Locus74	-0.0255	-0.0389	-0.0427	-0.0131	-0.0582	-0.0258	-0.0855
Locus75	 0.0418	 0.0561	 0.0617	 0.0149	-0.1179	 0.0554	-0.0560
Locus76	 0.2032	 0.2440	 0.2653	 0.0512	 0.5390	 0.2207	 0.6407
Locus77	 0.0398	 0.0478	 0.0532	 0.0083	 0.1763	 0.0376	 0.2073
Locus78	 0.0776	 0.1368	 0.1463	 0.0642	-0.2543	 0.1063	-0.1210
Locus79	-0.0008	-0.0013	-0.0015	-0.0005	-0.2097	 0.0110	-0.1963
Locus80	 0.0049	 0.0069	 0.0076	 0.0020	 0.3567	-0.0211	 0.3432
Locus81	 0.0964	 0.1866	 0.1976	 0.0998	 0.4379	 0.1006	 0.4944
Locus82	 0.0259	 0.0298	 0.0334	 0.0040	 0.2814	 0.0140	 0.2915
Locus83	 0.2547	 0.3490	 0.3719	 0.1266	-0.1889	 0.2833	 0.1479
Locus84	 0.0255	 0.0447	 0.0482	 0.0196	 0.1100	 0.0287	 0.1355
Locus85	 0.0813	 0.1084	 0.1186	 0.0295	 0.1260	 0.0899	 0.2046
Locus86	 0.0339	 0.0423	 0.0469	 0.0087	 0.1136	 0.0299	 0.1401
Locus87	-0.0047	-0.0071	-0.0078	-0.0024	 0.2320	-0.0205	 0.2163
Locus88	 0.1364	 0.1932	 0.2086	 0.0657	 0.1410	 0.1414	 0.2625
Locus89	 0.0660	 0.0765	 0.0851	 0.0113	 0.2471	 0.0644	 0.2956
Locus90	 0.0351	 0.0419	 0.0467	 0.0070	 0.2051	 0.0344	 0.2325
Locus91	 0.0357	 0.0672	 0.0720	 0.0327	-0.1682	 0.0495	-0.1103
Locus92	 0.0118	 0.0158	 0.0175	 0.0041	 0.0413	 0.0167	 0.0573
Locus93	 0.0108	 0.0209	 0.0225	 0.0103	 0.3142	-0.0035	 0.3118
Locus94	 0.0247	 0.0301	 0.0335	 0.0055	 0.2184	 0.0128	 0.2284
Locus95	 0.0425	 0.0523	 0.0580	 0.0102	-0.0234	 0.0576	 0.0355
Locus96	 0.0993	 0.1398	 0.1518	 0.0450	-0.0217	 0.1090	 0.0896
Locus97	 0.1046	 0.1444	 0.1570	 0.0445	 0.3431	 0.1030	 0.4108
Locus98	-0.0125	-0.0181	-0.0199	-0.0055	-0.0242	-0.0113	-0.0358
Locus99	 0.1003	 0.1780	 0.1896	 0.0864	 0.0224	 0.1149	 0.1348
Locus100	 0.0063	 0.0134	 0.0143	 0.0072	 0.3917	-0.0131	 0.3837
Locus101	 0.0088	 0.0138	 0.0150	 0.0050	-0.1340	 0.0168	-0.1150
Locus102	 0.1125	 0.1699	 0.1831	 0.0647	 0.1205	 0.1181	 0.2244
Locus103	 0.0241	 0.0326	 0.0359	 0.0087	-0.0038	 0.0229	 0.0192
Locus104	 0.0172	 0.0221	 0.0245	 0.0050	 0.0764	 0.0139	 0.0893
Locus105	-0.0121	-0.0201	-0.0218	-0.0079	-0.1758	-0.0028	-0.1791
Locus106	 0.0085	 0.0106	 0.0118	 0.0021	 0.2915	-0.0027	 0.2896
Locus107	 0.2569	 0.3144	 0.3387	 0.0774	 0.3245	 0.2605	 0.5005
Locus108	 0.0430	 0.0518	 0.0576	 0.0092	 0.0181	 0.0481	 0.0654
Locus109	 0.0041	 0.0058	 0.0064	 0.0017	-0.0864	 0.0028	-0.0834
Locus110	 0.0187	 0.0230	 0.0256	 0.0044	 0.1497	 0.0149	 0.1624
Locus111	 0.0479	 0.0559	 0.0623	 0.0084	 0.4542	 0.0259	 0.4683
Locus112	 0.0128	 0.0186	 0.0204	 0.0059	 0.4433	-0.0105	 0.4374
Locus113	 0.0135	 0.0223	 0.0241	 0.0089	-0.2709	 0.0264	-0.2374
Locus114	 0.0154	 0.0223	 0.0244	 0.0070	 0.1857	 0.0060	 0.1906
Locus115	 0.2067	 0.2453	 0.2670	 0.0487	 0.4856	 0.2178	 0.5976
Locus116	 0.0980	 0.1141	 0.1263	 0.0179	 0.3703	 0.0916	 0.4280
Locus117	 0.0960	 0.1251	 0.1369	 0.0322	-0.1557	 0.1107	-0.0278
Locus118	 0.1503	 0.2661	 0.2815	 0.1363	 0.3317	 0.1745	 0.4483
Locus119	 0.0023	 0.0026	 0.0030	 0.0003	 0.1550	 0.0010	 0.1559
Locus120	 0.1487	 0.1770	 0.1941	 0.0332	 0.3656	 0.1547	 0.4637
Locus121	 0.0112	 0.0178	 0.0193	 0.0067	 0.1635	 0.0084	 0.1705
Locus122	 0.2396	 0.3037	 0.3267	 0.0842	-0.1765	 0.2787	 0.1514
Locus123	 0.1862	 0.2867	 0.3052	 0.1235	 0.3354	 0.1738	 0.4509
Locus124	-0.0093	-0.0105	-0.0119	-0.0012	 0.4345	-0.0346	 0.4149
Locus125	 0.0350	 0.0426	 0.0474	 0.0079	 0.0077	 0.0403	 0.0477
Locus126	 0.0142	 0.0291	 0.0311	 0.0151	-0.2439	 0.0253	-0.2125
Locus127	 0.0718	 0.0895	 0.0987	 0.0191	-0.0541	 0.0766	 0.0267
Locus128	 0.0581	 0.1075	 0.1149	 0.0525	 0.2114	 0.0565	 0.2560
Locus129	 0.0072	 0.0098	 0.0108	 0.0025	 0.0347	 0.0109	 0.0453
Locus130	 0.0339	 0.0705	 0.0750	 0.0379	 0.1336	 0.0274	 0.1573
Locus131	 0.0984	 0.1166	 0.1288	 0.0202	 0.7352	 0.0724	 0.7543
Locus132	 0.0396	 0.0457	 0.0511	 0.0064	 0.4549	 0.0270	 0.4696
Locus133	 0.0328	 0.0486	 0.0531	 0.0163	-0.0482	 0.0413	-0.0049
Locus134	 0.0263	 0.0298	 0.0335	 0.0036	 0.3623	 0.0109	 0.3692
Locus135	 0.0359	 0.0548	 0.0596	 0.0196	 0.3486	 0.0205	 0.3620
Locus136	 0.0279	 0.0537	 0.0575	 0.0265	-0.2868	 0.0408	-0.2343
Locus137	-0.0160	-0.0256	-0.0280	-0.0095	 0.2048	-0.0288	 0.1818
Locus138	 0.0215	 0.0415	 0.0444	 0.0204	 0.2521	 0.0162	 0.2642
Locus139	 0.0635	 0.0830	 0.0913	 0.0208	 0.6788	 0.0351	 0.6901
Locus140	 0.0109	 0.0162	 0.0177	 0.0054	 0.0885	 0.0061	 0.0940
Locus141	 0.0384	 0.0428	 0.0481	 0.0046	 0.4039	 0.0290	 0.4212
Locus142	 0.0045	 0.0076	 0.0082	 0.0031	 0.3946	-0.0090	 0.3891
Locus143	 0.0816	 0.1136	 0.1238	 0.0348	 0.3371	 0.0751	 0.3869
Locus144	-0.0082	-0.0139	-0.0150	-0.0056	 0.0485	-0.0106	 0.0384
Locus145	 0.0034	 0.0058	 0.0063	 0.0025	-0.0133	 0.0034	-0.0099
Locus146	 0.0588	 0.1145	 0.1219	 0.0593	 0.1725	 0.0663	 0.2273
Locus147	 0.0755	 0.0905	 0.1002	 0.0161	 0.1355	 0.0832	 0.2074
Locus148	 0.2291	 0.3939	 0.4131	 0.2139	 0.1215	 0.2362	 0.3290
Locus149	 0.0770	 0.1194	 0.1290	 0.0460	-0.1243	 0.0873	-0.0262
Locus150	-0.0176	-0.0332	-0.0358	-0.0153	-0.0142	-0.0191	-0.0336
Locus151	 0.0921	 0.1027	 0.1143	 0.0117	 0.3144	 0.0894	 0.3757
Locus152	-0.0114	-0.0244	-0.0260	-0.0128	-0.0624	-0.0082	-0.0711
Locus153	 0.2052	 0.2298	 0.2517	 0.0310	 0.2908	 0.1983	 0.4314
Locus154	-0.0049	-0.0095	-0.0102	-0.0046	 0.1601	-0.0127	 0.1495
Locus155	-0.0142	-0.0306	-0.0327	-0.0162	-0.0780	-0.0118	-0.0907
Locus156	 0.0286	 0.0347	 0.0386	 0.0063	 0.0189	 0.0279	 0.0463
Locus157	 0.0495	 0.0549	 0.0615	 0.0057	 0.8831	 0.0075	 0.8840
Locus158	 0.0135	 0.0221	 0.0239	 0.0086	-0.1825	 0.0185	-0.1607
Locus159	 0.0246	 0.0280	 0.0314	 0.0035	 0.1391	 0.0239	 0.1597
Locus160	 0.0497	 0.0611	 0.0677	 0.0120	 0.1178	 0.0514	 0.1631
Locus161	 0.1076	 0.1251	 0.1383	 0.0196	 0.3184	 0.1093	 0.3930
Locus162	 0.0100	 0.0132	 0.0146	 0.0032	-0.0448	 0.0159	-0.0282
Locus163	 0.0143	 0.0253	 0.0273	 0.0112	 0.2568	 0.0051	 0.2606
Locus164	 0.0075	 0.0083	 0.0094	 0.0008	-0.0518	 0.0117	-0.0395
Locus165	-0.0124	-0.0167	-0.0185	-0.0042	 0.1857	-0.0233	 0.1667
Locus166	 0.1300	 0.1699	 0.1850	 0.0458	 0.2648	 0.1316	 0.3615
Locus167	 0.0465	 0.0565	 0.0627	 0.0104	 0.0063	 0.0588	 0.0647
Locus168	 0.0093	 0.0107	 0.0120	 0.0014	 0.1296	 0.0050	 0.1340
Locus169	 0.0749	 0.0882	 0.0979	 0.0144	 0.2372	 0.0758	 0.2950
Locus170	-0.0199	-0.0262	-0.0292	-0.0063	 0.3449	-0.0395	 0.3191
Locus171	 0.0105	 0.0223	 0.0238	 0.0119	-0.2241	 0.0250	-0.1935
Locus172	 0.0789	 0.0896	 0.0998	 0.0117	 0.4881	 0.0678	 0.5228
Locus173	 0.0036	 0.0073	 0.0078	 0.0037	 0.1716	-0.0002	 0.1714
Locus174	 0.0821	 0.0923	 0.1029	 0.0111	 0.1170	 0.0868	 0.1936
Locus175	 0.0363	 0.0731	 0.0779	 0.0382	-0.1299	 0.0422	-0.0822
Locus176	 0.0200	 0.0264	 0.0291	 0.0065	-0.0694	 0.0280	-0.0395
Locus177	 0.3532	 0.4045	 0.4331	 0.0792	-0.2136	 0.3712	 0.2369
Locus178	 0.0111	 0.0212	 0.0228	 0.0103	 0.1499	 0.0074	 0.1562
Locus179	 0.0253	 0.0345	 0.0380	 0.0094	 0.3928	 0.0068	 0.3970
Locus180	 0.0146	 0.0240	 0.0260	 0.0096	-0.1488	 0.0234	-0.1220
Locus181	-0.0051	-0.0064	-0.0072	-0.0013	 0.1468	-0.0145	 0.1345
Locus182	 0.0693	 0.1193	 0.1279	 0.0537	 0.3176	 0.0582	 0.3573
Locus183	 0.0843	 0.1240	 0.1344	 0.0433	 0.5582	 0.0814	 0.5941
Locus184	 0.1542	 0.1763	 0.1941	 0.0261	-0.0738	 0.1728	 0.1117
Locus185	 0.1117	 0.1259	 0.1397	 0.0160	 0.2968	 0.1137	 0.3767
Locus186	 0.0948	 0.1669	 0.1780	 0.0796	 0.0780	 0.0975	 0.1679
Locus187	 0.0513	 0.0597	 0.0665	 0.0089	 0.0702	 0.0513	 0.1180
Locus188	 0.0191	 0.0378	 0.0404	 0.0191	 0.2757	 0.0111	 0.2837
Locus189	 0.0188	 0.0288	 0.0314	 0.0102	 0.2306	 0.0128	 0.2404
Locus190	 0.0043	 0.0056	 0.0062	 0.0013	 0.3093	-0.0150	 0.2990
Locus191	 0.0019	 0.0036	 0.0039	 0.0017	 0.1563	-0.0033	 0.1535
Locus192	 0.1538	 0.1702	 0.1881	 0.0194	 0.6025	 0.1380	 0.6574
Locus193	-0.0060	-0.0084	-0.0093	-0.0024	 0.2764	-0.0280	 0.2562
Locus194	 0.0525	 0.1060	 0.1127	 0.0565	 0.1677	 0.0424	 0.2029
Locus195	 0.1202	 0.1477	 0.1621	 0.0313	 0.5010	 0.0984	 0.5501
Locus196	 0.0666	 0.0811	 0.0898	 0.0156	-0.0515	 0.0741	 0.0264
Locus197	 0.0060	 0.0079	 0.0088	 0.0019	 0.2072	 0.0002	 0.2074
Locus198	 0.0217	 0.0248	 0.0278	 0.0032	 0.7920	-0.0132	 0.7893
Locus199	-0.0189	-0.0265	-0.0293	-0.0074	-0.0558	-0.0188	-0.0757
Locus200	 0.2096	 0.3431	 0.3622	 0.1688	 0.3315	 0.2353	 0.4888
Locus201	 0.0247	 0.0290	 0.0324	 0.0044	 0.8246	-0.0157	 0.8218
Locus202	 0.1108	 0.1397	 0.1531	 0.0325	 0.0143	 0.1203	 0.1329
Locus203	 0.0586	 0.0671	 0.0748	 0.0090	 0.3924	 0.0455	 0.4200
Locus204	 0.1402	 0.1574	 0.1739	 0.0199	 0.5996	 0.1419	 0.6564
Locus205	 0.0290	 0.0331	 0.0371	 0.0042	 0.7913	-0.0109	 0.7891
Locus206	 0.0132	 0.0173	 0.0191	 0.0041	 0.4146	-0.0073	 0.4103
Locus207	-0.0263	-0.0502	-0.0542	-0.0233	-0.3244	-0.0159	-0.3455
Locus208	 0.0874	 0.1211	 0.1319	 0.0370	 0.0025	 0.0862	 0.0885
Locus209	-0.0145	-0.0183	-0.0204	-0.0037	 0.2815	-0.0296	 0.2602
Locus210	 0.0840	 0.1610	 0.1710	 0.0840	 0.4394	 0.0622	 0.4742
Locus211	 0.0461	 0.0509	 0.0572	 0.0051	 0.4697	 0.0227	 0.4818
Locus212	-0.0089	-0.0138	-0.0150	-0.0049	 0.3246	-0.0267	 0.3066
Locus213	 0.0392	 0.0612	 0.0664	 0.0229	-0.1968	 0.0532	-0.1331
Locus214	 0.3418	 0.4216	 0.4485	 0.1213	 0.2987	 0.3926	 0.5740
Locus215	 0.0603	 0.0931	 0.1008	 0.0349	 0.0997	 0.0614	 0.1550
Locus216	 0.1512	 0.2748	 0.2901	 0.1456	 0.3680	 0.1556	 0.4663
Locus217	 0.0587	 0.1137	 0.1211	 0.0585	-0.0141	 0.0677	 0.0546
Locus218	 0.1048	 0.1936	 0.2055	 0.0992	-0.0839	 0.1328	 0.0601
Locus219	 0.0014	 0.0026	 0.0028	 0.0012	 0.2440	-0.0151	 0.2326
Locus220	-0.0037	-0.0060	-0.0065	-0.0023	-0.1018	 0.0019	-0.0997
Locus221	 0.1982	 0.3296	 0.3480	 0.1638	-0.0435	 0.2227	 0.1889
Locus222	 0.0399	 0.0515	 0.0569	 0.0121	-0.0722	 0.0546	-0.0137
Locus223	 0.0145	 0.0264	 0.0284	 0.0120	 0.0196	 0.0092	 0.0287
Locus224	 0.2068	 0.2554	 0.2768	 0.0613	 0.0338	 0.2300	 0.2560
Locus225	-0.0164	-0.0201	-0.0225	-0.0036	 0.0754	-0.0234	 0.0538
Locus226	 0.0176	 0.0206	 0.0230	 0.0031	 0.2535	 0.0005	 0.2539
Locus227	-0.0070	-0.0093	-0.0104	-0.0024	 0.0676	-0.0111	 0.0572
Locus228	-0.0007	-0.0012	-0.0013	-0.0005	-0.1542	 0.0025	-0.1514
Locus229	 0.0209	 0.0250	 0.0279	 0.0042	 0.0439	 0.0191	 0.0622
Locus230	 0.0597	 0.0742	 0.0821	 0.0155	 0.2479	 0.0615	 0.2942
Locus231	 0.0398	 0.0446	 0.0500	 0.0050	 0.1565	 0.0367	 0.1875
Locus232	 0.0654	 0.0726	 0.0812	 0.0077	 0.1693	 0.0649	 0.2232
Locus233	 0.0156	 0.0297	 0.0318	 0.0143	-0.0962	 0.0181	-0.0764
Locus234	 0.1508	 0.1882	 0.2053	 0.0440	 0.5739	 0.1485	 0.6372
Locus235	 0.0393	 0.0461	 0.0514	 0.0071	 0.5115	 0.0135	 0.5180
Locus236	 0.0073	 0.0110	 0.0120	 0.0038	 0.2038	 0.0025	 0.2058
Locus237	 0.0740	 0.1168	 0.1261	 0.0463	-0.2247	 0.1024	-0.0992
Locus238	-0.0177	-0.0218	-0.0244	-0.0040	 0.0626	-0.0210	 0.0429
Locus239	 0.1434	 0.2552	 0.2701	 0.1305	 0.2561	 0.1391	 0.3596
Locus240	 0.0445	 0.0582	 0.0642	 0.0144	 0.2260	 0.0458	 0.2615
Locus241	 0.0504	 0.0570	 0.0637	 0.0069	 0.1180	 0.0509	 0.1629
Locus242	-0.0071	-0.0088	-0.0098	-0.0017	 0.0465	-0.0078	 0.0391
Locus243	 0.0866	 0.1256	 0.1363	 0.0427	-0.0988	 0.1043	 0.0158
Locus244	 0.2284	 0.3181	 0.3396	 0.1161	 0.3539	 0.2338	 0.5050
Locus245	-0.0112	-0.0240	-0.0256	-0.0127	 0.2528	-0.0197	 0.2381
Locus246	-0.0067	-0.0077	-0.0087	-0.0010	-0.0574	-0.0072	-0.0650
Locus247	 0.0366	 0.0578	 0.0627	 0.0220	 0.2090	 0.0320	 0.2343
Locus248	 0.1908	 0.2232	 0.2438	 0.0401	 0.4360	 0.1964	 0.5468
Locus249	 0.0193	 0.0218	 0.0245	 0.0026	 0.3645	 0.0089	 0.3702
Locus250	 0.0032	 0.0036	 0.0040	 0.0003	 0.2255	-0.0074	 0.2198
Locus251	 0.0422	 0.0713	 0.0769	 0.0304	 0.2215	 0.0412	 0.2536
Locus252	 0.0295	 0.0368	 0.0408	 0.0075	 0.3129	 0.0014	 0.3139
Locus253	 0.1891	 0.3242	 0.3419	 0.1666	 0.3643	 0.1678	 0.4710
Locus254	 0.0235	 0.0476	 0.0508	 0.0248	 0.2961	 0.0151	 0.3067
Locus255	 0.0108	 0.0137	 0.0152	 0.0029	 0.3603	-0.0076	 0.3554
Locus256	 0.0210	 0.0281	 0.0310	 0.0072	 0.0235	 0.0237	 0.0467
Locus257	 0.0302	 0.0357	 0.0399	 0.0057	 0.4107	 0.0193	 0.4221
Locus258	 0.0208	 0.0297	 0.0326	 0.0092	 0.4338	-0.0076	 0.4294
Locus259	 0.0212	 0.0268	 0.0298	 0.0057	 0.2531	 0.0104	 0.2608
Locus260	 0.0388	 0.0802	 0.0853	 0.0431	-0.2135	 0.0582	-0.1429
Locus261	 0.1071	 0.1904	 0.2026	 0.0932	 0.2898	 0.1199	 0.3749
Locus262	 0.1194	 0.1427	 0.1570	 0.0264	 0.4316	 0.1220	 0.5009
Locus263	 0.0820	 0.1410	 0.1510	 0.0643	-0.0380	 0.0983	 0.0640
Locus264	 0.0621	 0.0735	 0.0817	 0.0121	 0.0376	 0.0645	 0.0996
Locus265	 0.0231	 0.0294	 0.0326	 0.0064	 0.5900	 0.0005	 0.5902
Locus266	 0.2706	 0.3459	 0.3702	 0.1032	 0.7236	 0.2740	 0.7994
Locus267	 0.1583	 0.2883	 0.3040	 0.1545	 0.4718	 0.1673	 0.5602
Locus268	 0.1700	 0.2191	 0.2377	 0.0592	 0.0892	 0.1786	 0.2519
Locus269	 0.0264	 0.0491	 0.0527	 0.0233	-0.0992	 0.0372	-0.0582
Locus270	 0.0295	 0.0348	 0.0388	 0.0055	 0.0504	 0.0295	 0.0785
Locus271	 0.0040	 0.0045	 0.0051	 0.0005	 0.1617	-0.0044	 0.1580
Locus272	 0.0561	 0.0694	 0.0768	 0.0141	 0.2826	 0.0515	 0.3195
Locus273	 0.0537	 0.0941	 0.1010	 0.0428	-0.0426	 0.0632	 0.0234
Locus274	 0.0727	 0.0817	 0.0911	 0.0097	 0.1689	 0.0654	 0.2233
Locus275	 0.0652	 0.0808	 0.0893	 0.0166	 0.4471	 0.0508	 0.4752
Locus276	 0.1073	 0.1566	 0.1693	 0.0552	 0.1711	 0.1149	 0.2664
Locus277	 0.0272	 0.0456	 0.0493	 0.0189	-0.0719	 0.0343	-0.0351
Locus278	 0.1049	 0.1190	 0.1320	 0.0158	 0.0120	 0.1137	 0.1244
Locus279	 0.0435	 0.0781	 0.0838	 0.0362	-0.1885	 0.0506	-0.1284
Locus280	 0.1964	 0.2325	 0.2535	 0.0449	 0.2324	 0.2157	 0.3980
Locus281	 0.0260	 0.0391	 0.0427	 0.0134	 0.1735	 0.0221	 0.1917
Locus282	 0.0534	 0.0635	 0.0706	 0.0107	 0.1676	 0.0499	 0.2092
Locus283	-0.0084	-0.0153	-0.0165	-0.0068	 0.3187	-0.0275	 0.2999
Locus284	 0.0479	 0.0619	 0.0682	 0.0147	 0.2991	 0.0388	 0.3263
Locus285	 0.1471	 0.2627	 0.2779	 0.1356	 0.1031	 0.1717	 0.2571
Locus286	-0.0016	-0.0020	-0.0022	-0.0003	 0.2158	-0.0163	 0.2031
Locus287	 0.0921	 0.1802	 0.1909	 0.0971	-0.0793	 0.1104	 0.0398
Locus288	 0.0926	 0.1646	 0.1755	 0.0794	 0.2342	 0.0858	 0.2999
Locus289	-0.0138	-0.0165	-0.0185	-0.0027	 0.0920	-0.0198	 0.0740
Locus290	 0.0259	 0.0306	 0.0341	 0.0048	 0.0551	 0.0241	 0.0779
Locus291	 0.0297	 0.0372	 0.0413	 0.0078	 0.3782	 0.0115	 0.3853
Locus292	 0.0205	 0.0263	 0.0291	 0.0059	-0.0313	 0.0267	-0.0038
Locus293	 0.1462	 0.2546	 0.2699	 0.1270	 0.0875	 0.1668	 0.2397
Locus294	 0.1075	 0.2071	 0.2191	 0.1116	 0.1798	 0.1138	 0.2731
Locus295	-0.0129	-0.0275	-0.0294	-0.0144	 0.2236	-0.0235	 0.2054
Locus296	-0.0091	-0.0106	-0.0119	-0.0015	 0.1246	-0.0155	 0.1111
Locus297	 0.0340	 0.0394	 0.0440	 0.0056	 0.5112	 0.0157	 0.5189
Locus298	 0.1154	 0.1846	 0.1978	 0.0782	-0.1525	 0.1451	 0.0147
Locus299	 0.0509	 0.0665	 0.0733	 0.0165	 0.0248	 0.0545	 0.0779
Locus300	 0.0143	 0.0303	 0.0323	 0.0162	-0.1823	 0.0285	-0.1486
Locus301	-0.0056	-0.0068	-0.0076	-0.0011	 0.2687	-0.0220	 0.2526
Locus302	 0.2601	 0.3231	 0.3473	 0.0851	 0.2686	 0.2740	 0.4690
Locus303	-0.0140	-0.0278	-0.0299	-0.0136	 0.1881	-0.0268	 0.1663
Locus304	 0.1332	 0.2168	 0.2315	 0.0965	 0.0421	 0.1538	 0.1894
Locus305	 0.0528	 0.1057	 0.1124	 0.0558	 0.2037	 0.0562	 0.2484
Locus306	-0.0111	-0.0132	-0.0148	-0.0021	 0.4397	-0.0352	 0.4200
Locus307	 0.0206	 0.0369	 0.0397	 0.0166	-0.1096	 0.0290	-0.0774
Locus308	 0.0236	 0.0313	 0.0346	 0.0079	 0.3488	 0.0123	 0.3568
Locus309	 0.0194	 0.0361	 0.0388	 0.0171	-0.2588	 0.0386	-0.2102
Locus310	-0.0109	-0.0129	-0.0145	-0.0020	 0.4390	-0.0317	 0.4212
Locus311	-0.0050	-0.0063	-0.0070	-0.0013	 0.2745	-0.0158	 0.2631
Locus312	 0.0054	 0.0061	 0.0069	 0.0007	 0.4855	-0.0140	 0.4782
Locus313	 0.1117	 0.1305	 0.1441	 0.0211	 0.1985	 0.1239	 0.2978
Locus314	 0.0784	 0.0945	 0.1045	 0.0174	 0.5592	 0.0691	 0.5896
Locus315	 0.0596	 0.0747	 0.0825	 0.0161	 0.4900	 0.0382	 0.5095
Locus316	 0.0091	 0.0194	 0.0207	 0.0104	 0.3765	-0.0124	 0.3687
Locus317	 0.0573	 0.1146	 0.1218	 0.0608	 0.4272	 0.0563	 0.4595
Locus318	 0.0287	 0.0360	 0.0399	 0.0075	-0.0224	 0.0305	 0.0088
Locus319	 0.0411	 0.0540	 0.0595	 0.0135	-0.0933	 0.0536	-0.0347
Locus320	 0.0681	 0.0777	 0.0866	 0.0104	 0.2802	 0.0674	 0.3287
Locus321	 0.0780	 0.0959	 0.1059	 0.0194	 0.2308	 0.0848	 0.2960
Locus322	-0.0161	-0.0231	-0.0255	-0.0070	-0.0086	-0.0175	-0.0263
Locus323	 0.0308	 0.0474	 0.0515	 0.0171	 0.2883	 0.0228	 0.3046
Locus324	 0.1377	 0.2416	 0.2562	 0.1204	 0.1949	 0.1500	 0.3157
Locus325	 0.1129	 0.1472	 0.1608	 0.0387	 0.3087	 0.1078	 0.3833
Locus326	 0.0387	 0.0434	 0.0487	 0.0049	 0.6488	 0.0113	 0.6528
Locus327	 0.1134	 0.1907	 0.2036	 0.0872	 0.4746	 0.0986	 0.5264
Locus328	 0.0486	 0.0542	 0.0607	 0.0058	 0.4012	 0.0321	 0.4205
Locus329	-0.0106	-0.0197	-0.0212	-0.0090	-0.1004	-0.0054	-0.1063
Locus330	 0.0274	 0.0316	 0.0354	 0.0044	 0.2804	 0.0103	 0.2878
Locus331	 0.0810	 0.1310	 0.1410	 0.0544	 0.2320	 0.0777	 0.2917
Locus332	 0.0171	 0.0205	 0.0229	 0.0035	 0.2216	 0.0060	 0.2262
Locus333	-0.0124	-0.0149	-0.0167	-0.0024	 0.5555	-0.0435	 0.5361
Locus334	 0.0377	 0.0777	 0.0827	 0.0415	 0.4224	 0.0270	 0.4380
Locus335	 0.0792	 0.0950	 0.1052	 0.0172	 0.7370	 0.0652	 0.7542
Locus336	 0.0656	 0.1120	 0.1202	 0.0496	 0.4789	 0.0505	 0.5052
Locus337	 0.1627	 0.1901	 0.2085	 0.0328	 0.3119	 0.1794	 0.4353
Locus338	 0.0368	 0.0477	 0.0527	 0.0112	 0.1696	 0.0353	 0.1989
Locus339	 0.0178	 0.0201	 0.0226	 0.0024	 0.3670	 0.0033	 0.3690
Locus340	 0.0345	 0.0640	 0.0686	 0.0306	 0.4698	 0.0113	 0.4758
Locus341	 0.0023	 0.0028	 0.0031	 0.0004	 0.2642	-0.0160	 0.2524
Locus342	 0.0559	 0.0876	 0.0949	 0.0336	 0.0501	 0.0655	 0.1123
Locus343	 0.1047	 0.1509	 0.1635	 0.0517	 0.3524	 0.1052	 0.4205
Locus344	-0.0127	-0.0273	-0.0292	-0.0145	-0.2803	-0.0004	-0.2808
Locus345	 0.0405	 0.0572	 0.0627	 0.0174	 0.0890	 0.0428	 0.1280
Locus346	 0.0407	 0.0664	 0.0718	 0.0268	 0.3063	 0.0307	 0.3276
Locus347	 0.0064	 0.0076	 0.0085	 0.0012	 0.0705	 0.0068	 0.0769
Locus348	 0.1013	 0.1377	 0.1500	 0.0405	-0.0148	 0.1139	 0.1008
Locus349	 0.0130	 0.0153	 0.0172	 0.0024	 0.0869	 0.0073	 0.0936
Locus350	 0.0591	 0.0696	 0.0774	 0.0112	 0.1905	 0.0559	 0.2358
Locus351	 0.0386	 0.0687	 0.0738	 0.0313	-0.1245	 0.0537	-0.0641
Locus352	 0.0197	 0.0312	 0.0339	 0.0117	-0.0847	 0.0274	-0.0550
Locus353	 0.0567	 0.0651	 0.0727	 0.0089	 0.0599	 0.0616	 0.1177
Locus354	 0.0688	 0.0899	 0.0988	 0.0227	 0.4471	 0.0681	 0.4848
Locus355	-0.0017	-0.0022	-0.0025	-0.0005	 0.2247	-0.0100	 0.2169
Locus356	-0.0160	-0.0351	-0.0374	-0.0188	-0.1876	-0.0073	-0.1962
Locus357	 0.0280	 0.0332	 0.0370	 0.0054	 0.0452	 0.0304	 0.0742
Locus358	 0.0202	 0.0302	 0.0330	 0.0102	 0.0406	 0.0260	 0.0656
Locus359	 0.1881	 0.3361	 0.3535	 0.1823	 0.5085	 0.1824	 0.5981
Locus360	 0.0208	 0.0264	 0.0293	 0.0056	 0.1294	 0.0141	 0.1417
Locus361	-0.0083	-0.0110	-0.0122	-0.0027	-0.0211	-0.0100	-0.0313
Locus362	 0.0612	 0.1236	 0.1312	 0.0665	 0.1292	 0.0595	 0.1810
Locus363	 0.0675	 0.0786	 0.0874	 0.0119	 0.4342	 0.0608	 0.4686
Locus364	 0.0455	 0.0856	 0.0915	 0.0420	 0.1934	 0.0379	 0.2240
Locus365	 0.0143	 0.0166	 0.0187	 0.0024	 0.6505	-0.0168	 0.6447
Locus366	 0.0531	 0.0646	 0.0717	 0.0121	 0.5175	 0.0418	 0.5376
Locus367	 0.1063	 0.1276	 0.1407	 0.0239	 0.4383	 0.1081	 0.4990
