Locus 95% CIs

gst = Nei & Chesser, 1983
Gst = Hedrick, 2005
GGst = Meirmans & Hedrick, (2011)
D = Jost, 2008
Fst = Weir & Cockerham, 1984
Fis = Weir & Cockerham, 1984
Fit = Weir & Cockerham, 1984


gst

locus	actual	lower	upper
Locus134	 0.0263	-0.0068	 0.0722
Locus135	 0.0359	-0.0149	 0.1233
Locus136	 0.0279	-0.0055	 0.0507
Locus137	-0.0160	-0.0530	 0.0152
Locus138	 0.0215	-0.0196	 0.1233
Locus139	 0.0635	 0.0208	 0.1230
Locus140	 0.0109	-0.0115	 0.0513
Locus141	 0.0384	-0.0036	 0.0946
Locus142	 0.0045	-0.0442	 0.0884
Locus143	 0.0816	 0.0325	 0.1435
Locus144	-0.0082	-0.0622	 0.0719
Locus145	 0.0034	-0.0365	 0.0651
Locus146	 0.0588	-0.0124	 0.1157
Locus147	 0.0755	 0.0076	 0.1774
Locus148	 0.2291	 0.1305	 0.3199
Locus149	 0.0770	 0.0302	 0.1545
Locus150	-0.0176	-0.0506	 0.0320
Locus151	 0.0921	-0.0252	 0.2729
Locus152	-0.0114	-0.0406	 0.0290
Locus153	 0.2052	 0.0775	 0.4659
Locus154	-0.0049	-0.0414	 0.0269
Locus155	-0.0142	-0.0424	 0.0240
Locus156	 0.0286	-0.0109	 0.0861
Locus157	 0.0495	-0.0253	 0.1495
Locus158	 0.0135	-0.0216	 0.0477
Locus159	 0.0246	-0.0221	 0.1154
Locus160	 0.0497	-0.0102	 0.1376
Locus161	 0.1076	 0.0147	 0.2726
Locus162	 0.0100	-0.0341	 0.0649
Locus163	 0.0143	-0.0292	 0.0681
Locus164	 0.0075	-0.0362	 0.0624
Locus165	-0.0124	-0.0684	 0.1078
Locus166	 0.1300	 0.0020	 0.2797
Locus167	 0.0465	-0.0217	 0.0867
Locus168	 0.0093	-0.0328	 0.0649
Locus169	 0.0749	 0.0111	 0.1383
Locus170	-0.0199	-0.0764	 0.0813
Locus171	 0.0105	-0.0406	 0.0741
Locus172	 0.0789	 0.0214	 0.1618
Locus173	 0.0036	-0.0560	 0.0421
