Locus 95% CIs

gst = Nei & Chesser, 1983
Gst = Hedrick, 2005
GGst = Meirmans & Hedrick, (2011)
D = Jost, 2008
Fst = Weir & Cockerham, 1984
Fis = Weir & Cockerham, 1984
Fit = Weir & Cockerham, 1984


gst

locus	actual	lower	upper
Locus497	 0.0159	-0.0446	 0.0672
Locus498	-0.0577	-0.0954	-0.0218
Locus499	 0.0122	-0.0443	 0.1694
Locus500	 0.0833	-0.0047	 0.1538
Locus501	-0.0138	-0.0748	 0.0694
Locus502	 0.1913	 0.0383	 0.3385
Locus503	 0.0638	-0.0380	 0.1486
Locus504	 0.0374	-0.0256	 0.1244
Locus505	 0.0911	-0.0063	 0.1855
Locus506	 0.2369	 0.1064	 0.3878
Locus507	 0.1225	-0.0016	 0.2234
Locus508	 0.0604	-0.0160	 0.1549
Locus509	 0.1202	-0.0278	 0.2174
Locus510	 0.0448	-0.0377	 0.1802
Locus511	-0.0099	-0.0704	 0.0983
Locus512	-0.0109	-0.0969	 0.0556
Locus513	 0.3415	 0.1777	 0.4946
Locus514	 0.1654	 0.0189	 0.2806
Locus515	-0.0558	-0.1448	 0.0424
Locus516	 0.1358	 0.0280	 0.2743
Locus517	 0.0190	-0.0476	 0.0858
Locus518	 0.1022	-0.0143	 0.2130
Locus519	 0.1888	-0.0448	 0.3901
Locus520	 0.1095	-0.0222	 0.2985
Locus521	-0.0398	-0.0809	 0.0178
Locus522	 0.0879	 0.0009	 0.1974
Locus523	 0.0143	-0.0356	 0.0862
Locus524	 0.0085	-0.0502	 0.0760
Locus525	-0.0129	-0.0782	 0.0777
Locus526	-0.0189	-0.0904	 0.0992
Locus527	-0.0016	-0.0516	 0.0620
Locus528	 0.3520	 0.2681	 0.4692
Locus529	 0.0206	-0.0330	 0.1144
Locus530	 0.0965	-0.0093	 0.1942
Locus531	-0.0117	-0.0602	 0.0531
Locus532	 0.0170	-0.0409	 0.1962
Locus533	 0.0817	 0.0171	 0.1814
Locus534	 0.0664	-0.0058	 0.1503
Locus535	 0.0800	-0.0167	 0.1945
Locus536	 0.0284	-0.0389	 0.1483
Locus537	 0.0065	-0.0260	 0.0818
Locus538	 0.1352	-0.0446	 0.2922
Locus539	-0.0107	-0.0558	 0.0841
Locus540	 0.0122	-0.0330	 0.0985
Locus541	-0.0444	-0.1059	 0.0322
Locus542	 0.0443	-0.0456	 0.1586
Locus543	 0.0510	-0.0042	 0.1038
Locus544	 0.1190	-0.0140	 0.2336
Locus545	 0.0144	-0.0435	 0.1154
Locus546	-0.0735	-0.1537	 0.0471
Locus547	 0.0710	 0.0213	 0.1221
Locus548	 0.1335	 0.0345	 0.3424
Locus549	 0.0723	 0.0224	 0.1158
Locus550	 0.0607	-0.0495	 0.1414
Locus551	 0.0400	-0.0318	 0.1464
Locus552	 0.1063	 0.0132	 0.2239
Locus553	 0.3620	 0.2133	 0.4692
Locus554	 0.1214	-0.0248	 0.3421
Locus555	 0.0606	 0.0051	 0.1458
Locus556	-0.0273	-0.0907	 0.0445
Locus557	 0.1379	 0.0398	 0.2415
Locus558	-0.0038	-0.0703	 0.1323
Locus559	 0.0514	-0.0552	 0.1984
Locus560	 0.0305	-0.0638	 0.1509
Locus561	 0.1296	-0.0167	 0.2541
Locus562	 0.0547	 0.0011	 0.1825
Locus563	 0.1025	-0.0499	 0.2733
Locus564	-0.0105	-0.0668	 0.0265
Locus565	 0.0556	-0.0657	 0.3118
Locus566	 0.0483	-0.0221	 0.1684
Locus567	 0.0449	-0.0614	 0.1601
Locus568	 0.1456	 0.0290	 0.3428
Locus569	 0.1791	 0.0440	 0.2721
Locus570	 0.0401	-0.0057	 0.1009
Locus571	-0.0408	-0.1280	 0.1096
Locus572	 0.0936	 0.0210	 0.1704
Locus573	 0.0194	-0.0243	 0.0854
Locus574	 0.1163	 0.0037	 0.3624
Locus575	-0.0063	-0.0434	 0.0243
Locus576	 0.0095	-0.0745	 0.1252
Locus577	 0.0616	-0.0164	 0.2049
Locus578	 0.1448	 0.0869	 0.2119
Locus579	 0.0123	-0.0182	 0.0717
Locus580	 0.0022	-0.0282	 0.0516
Locus581	 0.1321	 0.0438	 0.2354
Locus582	 0.0390	-0.0552	 0.1244
Locus583	 0.0040	-0.0559	 0.0878
Locus584	 0.2016	 0.0645	 0.3969
Locus585	 0.0297	-0.0359	 0.0994
Locus586	-0.0038	-0.0811	 0.0953
Locus587	 0.1393	 0.0620	 0.2621
Locus588	 0.1162	 0.0225	 0.2110
Locus589	 0.1373	 0.0007	 0.3459
Locus590	 0.1704	 0.0569	 0.3457
Locus591	 0.0747	-0.0025	 0.1614
Locus592	 0.0642	-0.0012	 0.1303
Locus593	 0.0451	-0.0324	 0.1919
Locus594	-0.0178	-0.0911	 0.0506
Locus595	 0.0891	-0.0414	 0.2466
Locus596	-0.0252	-0.1129	 0.1423
Locus597	-0.0316	-0.0868	 0.0336
Locus598	 0.0679	-0.0281	 0.1510
Locus599	 0.0085	-0.0578	 0.1295
Locus600	-0.0377	-0.0671	 0.0115
Locus601	 0.0595	-0.0056	 0.1540
Locus602	 0.1629	 0.0354	 0.3489
Locus603	-0.0418	-0.0857	 0.0147
Locus604	 0.0278	-0.0542	 0.1007
Locus605	 0.0167	-0.0306	 0.0853
Locus606	 0.2100	 0.0716	 0.4008
Locus607	 0.3006	 0.1905	 0.3764
Locus608	 0.0073	-0.0740	 0.0940
Locus609	 0.0752	-0.0347	 0.1766
Locus610	 0.0080	-0.0577	 0.0637
Locus611	 0.0553	-0.0772	 0.1700
Locus612	 0.0293	-0.0179	 0.0907
Locus613	 0.0731	-0.0059	 0.1572
Locus614	 0.0071	-0.0436	 0.0632
Locus615	 0.0992	-0.0257	 0.2565
Locus616	 0.0096	-0.0365	 0.0711
Locus617	 0.0238	-0.0262	 0.1196
Locus618	 0.4387	 0.2517	 0.5987
Locus619	 0.1671	 0.0607	 0.2853
Locus620	 0.0198	-0.0414	 0.1150
Locus621	 0.0473	-0.0132	 0.1072
Locus622	 0.0142	-0.0332	 0.0432
Locus623	 0.0329	-0.0654	 0.1654
Locus624	 0.0387	-0.0049	 0.0812
Locus625	-0.0205	-0.0867	 0.0704
Locus626	 0.1017	 0.0065	 0.2274
Locus627	 0.1481	-0.0005	 0.3142
Locus628	 0.1206	 0.0218	 0.2480
Locus629	 0.2165	 0.1428	 0.3324
Locus630	-0.0184	-0.0553	 0.0426
Locus631	 0.0082	-0.0713	 0.1306
Locus632	 0.0562	 0.0120	 0.0870
Locus633	 0.0621	-0.0181	 0.1381
Locus634	 0.0168	-0.1119	 0.1768
Locus635	 0.3293	 0.2192	 0.4266
Locus636	 0.0002	-0.0711	 0.0909
Locus637	 0.0946	-0.0174	 0.2124
Locus638	-0.0526	-0.1062	 0.0449
Locus639	 0.0119	-0.0911	 0.0835
Locus640	 0.0175	-0.0309	 0.1026
Locus641	 0.0357	-0.0788	 0.1800
Locus642	-0.0273	-0.1042	 0.0648
Locus643	 0.0184	-0.0671	 0.1167
Locus644	 0.1060	-0.0291	 0.3118
Locus645	 0.0248	-0.0522	 0.1445
Locus646	 0.0141	-0.0262	 0.0837
Locus647	 0.0151	-0.1308	 0.1256
Locus648	 0.0468	-0.0309	 0.1687
Locus649	 0.1904	 0.0534	 0.3519
Locus650	 0.2043	 0.0797	 0.3282
Locus651	 0.1651	 0.0329	 0.2730
Locus652	 0.1053	 0.0674	 0.1738
Locus653	 0.0260	-0.0330	 0.1013
Locus654	 0.1141	 0.0476	 0.2148
Locus655	-0.0297	-0.0691	 0.0033
Locus656	 0.0314	-0.0287	 0.1409
Locus657	-0.0177	-0.0556	 0.0558
Locus658	 0.2059	 0.1411	 0.2892
Locus659	 0.0010	-0.0329	 0.0474
Locus660	 0.0173	-0.0439	 0.1327
Locus661	 0.0576	 0.0116	 0.1380
Locus662	 0.1986	 0.1132	 0.2909
Locus663	 0.0339	-0.0525	 0.1874
Locus664	 0.0493	-0.0666	 0.1565
Locus665	 0.0581	-0.0334	 0.1180
Locus666	 0.2446	 0.1275	 0.3607
Locus667	-0.0454	-0.1249	 0.0226
Locus668	 0.1383	 0.0054	 0.3786
Locus669	 0.0222	-0.0697	 0.1346
Locus670	 0.0274	-0.0449	 0.1002
Locus671	 0.1734	 0.0694	 0.2999
Locus672	-0.0240	-0.0755	 0.0408
Locus673	-0.0145	-0.0814	 0.0701
Locus674	 0.0512	-0.0425	 0.1421
Locus675	 0.0131	-0.0562	 0.1015
Locus676	 0.1444	-0.0181	 0.2795
Locus677	 0.2384	 0.1088	 0.3249
Locus678	-0.0707	-0.1019	-0.0137
Locus679	 0.1007	-0.0040	 0.1743
Locus680	-0.0001	-0.0628	 0.0791
Locus681	 0.0286	-0.0441	 0.0768
Locus682	-0.0006	-0.0546	 0.0926
Locus683	 0.1788	 0.0799	 0.2938
Locus684	-0.0113	-0.1146	 0.1049
Locus685	 0.0295	-0.0612	 0.2029
Locus686	-0.0166	-0.0744	 0.0902
Locus687	 0.0154	-0.0504	 0.1355
Locus688	 0.0001	-0.0456	 0.0902
Locus689	 0.0298	-0.0937	 0.1703
Locus690	 0.0793	-0.0179	 0.2049
Locus691	 0.0166	-0.0829	 0.1811
Locus692	 0.0756	 0.0167	 0.1819
Locus693	 0.1401	 0.0359	 0.2299
Locus694	 0.1654	 0.0871	 0.2808
Locus695	 0.0703	-0.0109	 0.1672
Locus696	 0.0931	-0.0152	 0.2150
Locus697	 0.1192	-0.0102	 0.3086
Locus698	 0.0002	-0.0594	 0.0727
Locus699	-0.0253	-0.0802	 0.0279
Locus700	 0.0534	-0.0239	 0.1703
Locus701	 0.0222	-0.0637	 0.0820
Locus702	 0.0047	-0.0555	 0.0598
Locus703	 0.0757	-0.0307	 0.1885
Locus704	 0.0479	-0.0177	 0.1478
Locus705	 0.1144	 0.0254	 0.1842
Locus706	 0.1950	-0.0102	 0.4099
Locus707	 0.1478	 0.0678	 0.2428
Locus708	 0.3007	 0.1608	 0.5265
Locus709	 0.0063	-0.0676	 0.1278
Locus710	 0.1308	 0.0345	 0.2255
Locus711	 0.0928	 0.0127	 0.1957
Locus712	-0.0331	-0.0796	 0.0317
Locus713	 0.1458	 0.0938	 0.2370
Locus714	 0.0376	-0.0615	 0.1507
Locus715	 0.0129	-0.0478	 0.1012
Locus716	 0.0104	-0.0229	 0.0633
Locus717	 0.0636	-0.0125	 0.1389
Locus718	 0.0829	-0.0418	 0.1865
Locus719	 0.0338	-0.0376	 0.1358
Locus720	 0.3503	 0.1528	 0.4876
Locus721	 0.2570	 0.0888	 0.3741
Locus722	 0.0831	 0.0185	 0.1366
Locus723	-0.0194	-0.0867	 0.0702
Locus724	 0.0410	 0.0093	 0.0820
Locus725	 0.1504	 0.0452	 0.2827
Locus726	-0.0162	-0.0552	 0.0478
Locus727	 0.2888	 0.1302	 0.4787
Locus728	 0.0159	-0.0396	 0.1745
Locus729	 0.2726	 0.1112	 0.4723
Locus730	 0.0591	-0.0026	 0.1593
Locus731	-0.0177	-0.0751	 0.0685
Locus732	 0.1258	 0.0261	 0.2548
Locus733	 0.0323	-0.0078	 0.1288
Locus734	-0.0077	-0.0350	 0.0408
Locus735	 0.0687	-0.0544	 0.2052
Locus736	 0.0547	-0.0346	 0.2476
Locus737	 0.0684	 0.0017	 0.1632
Locus738	 0.0244	-0.0665	 0.0989
Locus739	 0.0638	-0.0158	 0.1298
Locus740	 0.0517	 0.0089	 0.0877
Locus741	 0.0386	-0.0795	 0.1948
Locus742	-0.0325	-0.1360	 0.0757
Locus743	-0.0018	-0.0698	 0.1006
Locus744	-0.0218	-0.0703	 0.0324
Locus745	 0.1935	 0.0819	 0.3034
Locus746	 0.1982	 0.1075	 0.2934
Locus747	 0.0241	-0.0360	 0.1154
Locus748	 0.0367	-0.0319	 0.1090
Locus749	 0.3623	 0.2819	 0.4656
Locus750	 0.0758	-0.0137	 0.1966
Locus751	 0.0201	-0.0504	 0.0933
Locus752	 0.0050	-0.1185	 0.0990
Locus753	 0.1201	-0.0055	 0.2092
Locus754	 0.0645	-0.0821	 0.2095
Locus755	 0.0045	-0.0556	 0.0540
Locus756	 0.0873	-0.0097	 0.1897
Locus757	-0.0051	-0.0756	 0.0729
Locus758	 0.0039	-0.0798	 0.0832
Locus759	 0.1061	-0.0087	 0.2221
Locus760	 0.0377	-0.0612	 0.1305
Locus761	 0.0612	-0.0124	 0.1238
Locus762	-0.0357	-0.1065	 0.0505
Locus763	 0.0917	 0.0432	 0.1548
Locus764	 0.0085	-0.0397	 0.0783
Locus765	-0.0096	-0.0590	 0.0502
Locus766	 0.1391	 0.0336	 0.2492
Locus767	 0.0121	-0.0983	 0.0908
Locus768	-0.0055	-0.0397	 0.0301
Locus769	 0.0920	 0.0236	 0.2026
Locus770	 0.0398	-0.1412	 0.2170
Locus771	 0.0313	-0.0618	 0.0962
Locus772	 0.0003	-0.0656	 0.1031
Locus773	 0.1450	-0.0465	 0.2573
Locus774	 0.0912	-0.0020	 0.2244
Locus775	 0.1542	 0.0798	 0.2627
Locus776	-0.0273	-0.1035	 0.0648
Locus777	 0.0637	-0.0288	 0.2849
Locus778	 0.0918	 0.0242	 0.2073
Locus779	-0.0302	-0.1116	 0.1545
Locus780	 0.0392	-0.0386	 0.1610
Locus781	 0.0159	-0.1004	 0.1251
Locus782	 0.0659	-0.0204	 0.2144
Locus783	 0.1178	 0.0044	 0.2472
Locus784	 0.1472	 0.0716	 0.2641
Locus785	 0.0175	-0.0510	 0.0981
Locus786	 0.0169	-0.0429	 0.0851
Locus787	 0.0719	 0.0276	 0.2291
Locus788	 0.0397	-0.0675	 0.1666
Locus789	-0.0082	-0.0561	 0.0470
Locus790	 0.3315	 0.2342	 0.3875
Locus791	 0.0403	-0.0309	 0.1504
Locus792	 0.1908	 0.0897	 0.3525
Locus793	-0.0276	-0.1487	 0.1234
Locus794	 0.0981	-0.0076	 0.3217
Locus795	 0.1256	 0.0245	 0.3477
Locus796	 0.0002	-0.0308	 0.0289
Locus797	-0.0104	-0.0800	 0.0762
Locus798	 0.1517	 0.0362	 0.2949
Locus799	 0.1250	 0.0220	 0.2717
Locus800	 0.1738	 0.0926	 0.2688
Locus801	 0.0439	-0.0264	 0.1352
Locus802	 0.0175	-0.0725	 0.1371
Locus803	 0.0941	-0.0356	 0.1764
Locus804	 0.1552	 0.0612	 0.2762
Locus805	 0.0354	-0.0416	 0.1916
Locus806	 0.0727	-0.0067	 0.1430
Locus807	 0.0781	-0.0221	 0.1613
Locus808	 0.0416	-0.0110	 0.1329
Locus809	 0.2542	 0.1799	 0.3925
Locus810	 0.1585	 0.0289	 0.3799
Locus811	 0.1590	 0.0973	 0.2104
Locus812	 0.0300	-0.0130	 0.0741
Locus813	 0.0563	-0.0575	 0.2021
Locus814	-0.0366	-0.0831	 0.0255
Locus815	 0.0419	-0.0210	 0.1212
Locus816	 0.2600	 0.1359	 0.3261
Locus817	 0.1279	 0.0496	 0.2708
Locus818	 0.0870	 0.0379	 0.1522
Locus819	 0.0932	 0.0034	 0.1792
Locus820	 0.0406	-0.0493	 0.1669
Locus821	 0.0138	-0.0741	 0.1565
Locus822	 0.1234	-0.0063	 0.2425
Locus823	 0.0068	-0.0783	 0.0862
Locus824	 0.2680	 0.1285	 0.3967
Locus825	 0.0574	-0.0042	 0.1005
Locus826	 0.1656	 0.0190	 0.2834
Locus827	 0.0412	-0.0289	 0.1473
Locus828	 0.0602	 0.0224	 0.1289
Locus829	 0.2211	 0.1008	 0.3866
Locus830	 0.1268	 0.0313	 0.2349
Locus831	-0.0033	-0.0555	 0.0530
Locus832	 0.0841	 0.0115	 0.1786
Locus833	 0.0330	-0.0587	 0.0950
Locus834	 0.0126	-0.0269	 0.0492
Locus835	 0.0738	-0.0600	 0.3234
Locus836	 0.4065	 0.2720	 0.5230
Locus837	 0.0357	-0.0952	 0.1228
Locus838	 0.1467	 0.0020	 0.2851
Locus839	 0.0523	-0.0164	 0.1080
Locus840	 0.0133	-0.0904	 0.1629
Locus841	 0.0450	-0.0321	 0.1460
Locus842	 0.1385	 0.0328	 0.2610
Locus843	 0.1022	 0.0134	 0.1983
Locus844	 0.0721	-0.0331	 0.2249
Locus845	-0.0113	-0.0483	 0.0243
Locus846	 0.0039	-0.0664	 0.0950
Locus847	 0.1917	 0.0450	 0.3324
Locus848	-0.0214	-0.0967	 0.0608
Locus849	 0.1651	 0.0895	 0.2530
Locus850	 0.1501	 0.0046	 0.2853
Locus851	-0.0324	-0.0773	 0.0375
Locus852	 0.0896	-0.0064	 0.2132
Locus853	-0.0089	-0.0898	 0.1089
Locus854	 0.1037	-0.0065	 0.2247
Locus855	 0.0901	-0.0495	 0.3628
Locus856	 0.0231	-0.0141	 0.0959
Locus857	 0.0092	-0.0364	 0.0586
Locus858	 0.5655	 0.4702	 0.6502
Locus859	 0.0630	-0.0252	 0.1617
Locus860	 0.2846	 0.1176	 0.4524
Locus861	 0.0508	-0.0242	 0.1197
Locus862	 0.1543	 0.0442	 0.2269
Locus863	 0.0937	 0.0015	 0.2124
Locus864	 0.1057	 0.0295	 0.2245
Locus865	-0.0406	-0.1528	 0.0724
Locus866	-0.0141	-0.0671	 0.0315
Locus867	 0.0392	-0.0158	 0.1023
Locus868	 0.0255	-0.0293	 0.0800
Locus869	-0.0256	-0.0890	 0.0511
Locus870	 0.0291	-0.0422	 0.1457
Locus871	 0.1076	-0.0320	 0.2384
Locus872	 0.0287	-0.0496	 0.0860
Locus873	 0.2067	 0.1082	 0.3336
Locus874	 0.0799	 0.0239	 0.2093
Locus875	 0.0429	-0.1071	 0.1632
Locus876	 0.0869	-0.0385	 0.2710
Locus877	 0.1364	 0.0281	 0.2276
Locus878	 0.1809	 0.1075	 0.2812
Locus879	-0.0206	-0.0700	 0.0591
Locus880	 0.0797	 0.0150	 0.1650
Locus881	 0.1011	 0.0319	 0.1828
Locus882	 0.0670	-0.0171	 0.1192
Locus883	-0.0001	-0.1052	 0.0766
Locus884	 0.0060	-0.1023	 0.1536
Locus885	-0.0079	-0.0437	 0.0308
Locus886	 0.0285	-0.0155	 0.0828
Locus887	 0.0972	 0.0227	 0.1529
Locus888	 0.0551	-0.0591	 0.1360
Locus889	-0.0192	-0.0775	 0.0688
Locus890	 0.0170	-0.0939	 0.0864
Locus891	 0.0364	-0.0982	 0.1293
Locus892	 0.1217	 0.0112	 0.2761
Locus893	 0.0262	-0.0498	 0.1406
Locus894	 0.0445	-0.0309	 0.1686
Locus895	 0.0242	-0.0980	 0.1621
Locus896	 0.1267	 0.0644	 0.1965
Locus897	 0.0082	-0.0633	 0.1045
Locus898	-0.0058	-0.0575	 0.0742
Locus899	 0.4154	 0.2949	 0.6406
Locus900	 0.0425	-0.0537	 0.1671
Locus901	-0.0417	-0.1111	 0.0249
Locus902	 0.0890	-0.0078	 0.1745
Locus903	 0.0196	-0.0811	 0.1771
Locus904	 0.0342	-0.0168	 0.0808
Locus905	 0.1520	 0.0692	 0.2485
Locus906	 0.1517	-0.0006	 0.2792
Locus907	 0.1527	 0.0433	 0.2697
Locus908	 0.0069	-0.0618	 0.0683
Locus909	 0.0305	-0.0364	 0.1567
Locus910	-0.0069	-0.0416	 0.0448
Locus911	-0.0399	-0.1139	 0.0197
Locus912	 0.1394	 0.0464	 0.3023
Locus913	 0.1806	 0.0591	 0.2807
Locus914	-0.0057	-0.0874	 0.0578
Locus915	 0.0299	-0.0406	 0.0961
Locus916	 0.0274	-0.0639	 0.1050
Locus917	 0.0122	-0.1529	 0.2143
Locus918	 0.0718	-0.0228	 0.2004
Locus919	 0.0424	-0.1353	 0.2067
Locus920	 0.0465	-0.0054	 0.1185
Locus921	-0.0008	-0.0472	 0.0454
Locus922	-0.0241	-0.0799	 0.0354
Locus923	 0.0837	-0.0401	 0.1720
Locus924	 0.0210	-0.0224	 0.0818
Locus925	 0.0008	-0.0364	 0.0525
Locus926	 0.0657	-0.0312	 0.1959
Locus927	 0.0146	-0.0652	 0.1281
Locus928	 0.0347	-0.0406	 0.1298
Locus929	 0.0221	-0.0319	 0.0675
Locus930	 0.0432	 0.0064	 0.1195
Locus931	 0.0786	 0.0087	 0.1495
Locus932	-0.0114	-0.0410	 0.0369
Locus933	 0.0215	-0.0488	 0.1088
Locus934	 0.3062	 0.2080	 0.4199
Locus935	-0.0068	-0.0690	 0.1290
Locus936	 0.0313	-0.0855	 0.1035
Locus937	 0.0188	-0.0416	 0.1036
Locus938	 0.0669	-0.0110	 0.2052
Locus939	-0.0055	-0.0820	 0.1163
Locus940	-0.0194	-0.0978	 0.0430
Locus941	 0.1327	-0.0475	 0.3680
Locus942	 0.6228	 0.4806	 0.7303
Locus943	 0.0377	-0.0388	 0.1060
Locus944	 0.0712	 0.0021	 0.1626
Locus945	 0.0016	-0.0779	 0.0931
Locus946	 0.1428	 0.0829	 0.2840
Locus947	 0.0495	-0.0513	 0.1833
Locus948	 0.0465	-0.0309	 0.1501
Locus949	 0.1113	 0.0060	 0.2240
Locus950	 0.1248	-0.0592	 0.2727
Locus951	 0.0834	-0.1219	 0.2655
Locus952	 0.1048	 0.0454	 0.1828
Locus953	 0.1389	 0.0659	 0.2176
Locus954	 0.0939	 0.0292	 0.1810
Locus955	 0.0448	-0.0226	 0.1767
Locus956	 0.1104	 0.0387	 0.1830
Locus957	 0.0999	-0.0319	 0.2536
Locus958	 0.4015	 0.2263	 0.5532
Locus959	 0.0124	-0.0936	 0.1550
Locus960	 0.0116	-0.0629	 0.0847
Locus961	 0.2004	 0.1236	 0.3442
Locus962	 0.2068	 0.0407	 0.4343
Locus963	 0.0749	 0.0002	 0.2493
Locus964	 0.0186	-0.0567	 0.2300
Locus965	 0.0766	-0.0042	 0.2177
Locus966	 0.0709	 0.0086	 0.1938
Locus967	 0.1494	 0.0138	 0.3317
Locus968	 0.0372	-0.0727	 0.1933
Locus969	 0.0966	-0.0134	 0.2031
Locus970	 0.1197	 0.0621	 0.1994
Locus971	 0.0504	-0.0519	 0.1776
Locus972	-0.0065	-0.0458	 0.0479
Locus973	 0.0585	-0.0571	 0.1722
Locus974	 0.1852	 0.1136	 0.3029
Locus975	 0.0835	 0.0347	 0.1244
Locus976	 0.0935	 0.0225	 0.1827
Locus977	 0.0239	-0.0423	 0.0951
Locus978	 0.2252	 0.1664	 0.3023
Locus979	 0.1942	 0.0892	 0.3082
Locus980	 0.0096	-0.0558	 0.0951
Locus981	 0.3073	 0.2187	 0.3897
Locus982	 0.1376	 0.0242	 0.2475
Locus983	 0.1230	 0.0483	 0.2731
Locus984	 0.0114	-0.1027	 0.1638
Locus985	 0.0145	-0.0498	 0.0853
Locus986	 0.0103	-0.0543	 0.0956
Locus987	 0.0816	-0.0310	 0.2337
Locus988	 0.0475	-0.0336	 0.1298
Locus989	 0.1962	 0.0844	 0.3569
Locus990	 0.2725	 0.1622	 0.3947
Locus991	-0.0103	-0.0397	 0.0257
Locus992	 0.1059	 0.0201	 0.2515
Locus993	-0.0024	-0.0447	 0.0792
Locus994	 0.0717	-0.0442	 0.1676
Locus995	-0.0261	-0.0716	 0.0312
Locus996	 0.1020	-0.0221	 0.2573
Locus997	 0.0015	-0.0424	 0.0564
Locus998	 0.0535	-0.0634	 0.1735
Locus999	 0.0666	-0.0068	 0.1576
Locus1000	 0.0202	-0.0466	 0.0956
Locus1001	 0.1338	 0.0751	 0.2248
Locus1002	 0.0257	-0.0315	 0.1482
Locus1003	 0.1194	 0.0440	 0.1729
Locus1004	 0.0374	-0.0096	 0.1116
Locus1005	 0.0170	-0.0718	 0.0810
Locus1006	-0.0061	-0.0736	 0.0929
Locus1007	 0.0544	-0.0515	 0.1761
Locus1008	-0.0526	-0.1561	 0.0348
Locus1009	 0.0514	-0.0143	 0.1435
Locus1010	 0.0011	-0.0669	 0.1880
Locus1011	-0.0148	-0.0635	 0.0493
Locus1012	 0.0113	-0.0790	 0.1299
Locus1013	 0.2971	 0.2280	 0.3550
Locus1014	 0.0307	-0.0305	 0.1266
Locus1015	 0.0111	-0.0507	 0.0924
Locus1016	 0.0776	 0.0164	 0.1500
Locus1017	-0.0087	-0.0616	 0.0436
Locus1018	 0.0929	-0.0127	 0.2174
Locus1019	 0.1625	 0.0394	 0.2728
Locus1020	 0.2893	 0.1840	 0.4591
Locus1021	 0.1779	 0.0426	 0.3780
Locus1022	 0.0352	-0.0583	 0.1461
Locus1023	 0.0467	-0.0326	 0.1100
Locus1024	 0.0054	-0.0657	 0.0800
Locus1025	 0.0060	-0.0224	 0.0376
Locus1026	 0.2055	 0.1026	 0.2964
Locus1027	 0.0316	-0.0394	 0.1109
Locus1028	 0.1413	 0.0702	 0.2936
Locus1029	 0.1627	 0.0562	 0.3155
Locus1030	 0.0009	-0.0680	 0.0744
Locus1031	 0.0488	-0.0413	 0.2096
Locus1032	 0.1475	 0.0378	 0.2972
Locus1033	 0.0398	-0.0283	 0.1095
Locus1034	-0.0036	-0.0757	 0.0767
Locus1035	 0.0272	-0.0840	 0.1703
Locus1036	 0.1903	 0.0960	 0.3293
Locus1037	-0.0218	-0.0634	 0.0322
Locus1038	 0.0936	 0.0474	 0.1765
Locus1039	 0.0837	 0.0117	 0.1968
Locus1040	 0.0053	-0.0738	 0.0947
Locus1041	 0.0593	-0.0107	 0.1675
Locus1042	 0.0995	 0.0182	 0.2641
Locus1043	 0.0588	 0.0049	 0.1128
Locus1044	 0.0912	 0.0197	 0.1573
Locus1045	 0.2200	 0.1332	 0.3251
Locus1046	 0.0197	-0.0566	 0.1188
Locus1047	 0.2227	 0.1223	 0.3928
Locus1048	 0.0845	-0.0170	 0.2793
Locus1049	-0.0281	-0.1247	 0.0913
Locus1050	 0.0271	-0.0354	 0.0815
Locus1051	 0.1102	 0.0627	 0.2088
Locus1052	 0.0200	-0.0615	 0.1064
Locus1053	 0.0503	-0.0657	 0.2227
Locus1054	 0.2421	 0.1564	 0.3519
Locus1055	 0.0134	-0.0296	 0.0535
Locus1056	 0.0948	-0.0617	 0.2687
Locus1057	 0.0106	-0.0548	 0.1078
Locus1058	-0.0614	-0.1154	 0.0062
Locus1059	-0.0614	-0.1265	 0.0206
Locus1060	 0.3321	 0.2141	 0.4500
Locus1061	 0.0677	-0.0018	 0.2033
Locus1062	 0.1310	 0.0630	 0.2109
Locus1063	 0.2702	 0.0867	 0.3966
Locus1064	 0.2571	 0.1351	 0.4154
Locus1065	 0.0456	-0.0663	 0.1793
Locus1066	 0.1012	 0.0160	 0.1832
Locus1067	 0.0963	 0.0181	 0.1700
Locus1068	 0.0057	-0.0498	 0.1046
Locus1069	 0.0519	-0.0057	 0.1645
Locus1070	 0.2007	 0.0759	 0.3178
Locus1071	 0.0099	-0.0689	 0.0829
Locus1072	 0.0937	-0.0158	 0.2481
Locus1073	 0.0980	 0.0370	 0.1624
Locus1074	 0.0819	 0.0057	 0.1776
Locus1075	 0.1544	 0.0881	 0.2681
Locus1076	 0.0057	-0.0801	 0.0814
Locus1077	 0.0384	-0.0170	 0.0901
Locus1078	 0.0667	 0.0319	 0.1225
Locus1079	 0.1188	 0.0575	 0.2211
Locus1080	 0.0372	-0.0254	 0.1771
Locus1081	-0.0477	-0.1212	 0.1573
Locus1082	 0.0118	-0.0533	 0.1143
Locus1083	 0.0149	-0.0468	 0.0957
Locus1084	 0.0016	-0.0672	 0.1317
Locus1085	 0.1542	 0.0522	 0.2684
Locus1086	 0.0178	-0.0755	 0.1324
Locus1087	 0.0074	-0.0308	 0.0800
Locus1088	 0.0121	-0.0698	 0.1313
Locus1089	 0.0276	-0.1149	 0.1361
Locus1090	-0.0571	-0.1035	 0.0104
Locus1091	 0.0315	-0.0573	 0.1938
Locus1092	 0.0216	-0.0381	 0.1260
Locus1093	 0.0472	-0.0376	 0.1626
Locus1094	 0.2170	 0.0347	 0.4101
